name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015
		PayablesAndAccruedExpenses,"268,383,000","270,946,000","266,308,000","237,959,000","213,317,000","231,379,000","215,262,000","185,956,000","217,249,000","234,025,000","249,064,000","224,521,000","211,079,000","262,168,000","235,549,000","208,055,000","221,898,000","262,725,000","205,336,000","227,401,000","236,227,000","248,411,000","205,653,000","199,731,000","181,828,000","217,847,000"
			Payables,"228,180,000","221,234,000","217,993,000","194,804,000","173,593,000","190,227,000","179,652,000","151,786,000","185,938,000","205,911,000","219,225,000","192,614,000","188,169,000","231,720,000","209,239,000","179,847,000","196,516,000","227,712,000","177,706,000","202,232,000","213,654,000","223,015,000","190,228,000","181,518,000","163,999,000","192,733,000"
				AccountsPayable,"200,524,000","221,234,000","217,993,000","194,804,000","173,593,000","190,227,000","179,652,000","151,786,000","185,938,000","205,911,000","219,225,000","192,614,000","188,169,000","229,508,000","209,239,000","176,589,000","195,699,000","227,711,000","177,688,000","197,197,000","208,416,000","223,015,000","190,228,000","181,518,000","163,999,000","192,733,000"
				TotalTaxPayable,"27,656,000",,,,,,,,,,,,,"2,212,000",,"3,258,000","817,000","1,000","18,000","5,035,000","5,238,000",,,,,
					IncomeTaxPayable,"27,656,000",,,,,,,,,,,,,"2,212,000",,"3,258,000","817,000","1,000","18,000","5,035,000","5,238,000",,,,,
			CurrentAccruedExpenses,"40,203,000","49,712,000","48,315,000","43,155,000","39,724,000","41,152,000","35,610,000","34,170,000","31,311,000","28,114,000","29,839,000","31,907,000","22,910,000","30,448,000","26,310,000","28,208,000","25,382,000","35,013,000","27,630,000","25,169,000","22,573,000","25,396,000","15,425,000","18,213,000","17,829,000","25,114,000"
		CurrentDebtAndCapitalLeaseObligation,"36,435,000","36,127,000","36,694,000","28,196,000","26,589,000","29,279,000","31,724,000","35,105,000","38,361,000","38,005,000","35,656,000","26,022,000","24,929,000",,"9,400,000","18,300,000","37,600,000","16,875,000","10,125,000","6,750,000","3,375,000",,,,,
			CurrentDebt,,,,,,,,,,,,,,,"9,400,000","18,300,000","37,600,000","16,875,000","10,125,000","6,750,000","3,375,000",,,,,
				OtherCurrentBorrowings,,,,,,,,,,,,,,,"9,400,000","18,300,000","37,600,000","16,875,000","10,125,000","6,750,000","3,375,000",,,,,
			CurrentCapitalLeaseObligation,"36,435,000","36,127,000","36,694,000","28,196,000","26,589,000","29,279,000","31,724,000","35,105,000","38,361,000","38,005,000","35,656,000","26,022,000","24,929,000",,,,,,,,,,,,,
		CurrentDeferredLiabilities,"2,434,000","2,749,000","3,138,000","2,950,000","19,576,000","26,379,000","6,176,000","5,263,000","13,070,000","19,696,000","1,948,000","3,184,000","20,694,000","22,556,000","2,295,000","2,425,000","17,126,000","17,194,000","801,000","1,585,000","19,707,000","25,567,000","1,705,000","2,671,000","20,036,000","25,207,000"
			CurrentDeferredRevenue,"2,434,000","2,749,000","3,138,000","2,950,000","19,576,000","26,379,000","6,176,000","5,263,000","13,070,000","19,696,000","1,948,000","3,184,000","20,694,000","22,556,000","2,295,000","2,425,000","17,126,000","17,194,000","801,000","1,585,000","19,707,000","25,567,000","1,705,000","2,671,000","20,036,000","25,207,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"491,478,000","400,987,000","417,911,000","453,390,000","508,713,000","532,247,000","560,936,000","638,888,000","586,796,000","543,365,000","507,923,000","488,596,000","447,826,000","329,564,000","324,187,000","324,294,000","324,029,000","377,155,000","430,769,000","430,896,000","424,379,000","415,617,000","478,048,000","143,302,000","129,308,000","118,862,000"
		LongTermDebtAndCapitalLeaseObligation,"316,471,000","235,580,000","241,773,000","273,560,000","333,231,000","360,605,000","392,085,000","473,176,000","426,759,000","395,347,000","366,752,000","344,503,000","311,802,000","200,000,000","190,600,000","191,700,000","192,400,000","248,339,000","254,995,000","258,276,000","261,557,000","264,838,000","308,230,000",,,
