name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,12/31/2013
		OtherCurrentAssets,"6,700,000","10,600,000","13,400,000","1,400,000","4,200,000","5,600,000","7,800,000","500,000","3,000,000","4,700,000","7,400,000","1,100,000","3,200,000","2,800,000","5,100,000","700,000","1,800,000","4,400,000","800,000","500,000","1,900,000",,,"4,800,000","8,300,000","9,200,000",,"1,100,000","200,000","0"
	TotalNonCurrentAssets,"3,335,300,000","3,352,500,000","3,304,300,000","3,275,700,000","3,274,800,000","3,273,100,000","3,268,000,000","3,235,700,000","3,201,300,000","3,181,800,000","2,926,100,000","2,849,800,000","2,803,400,000","2,733,600,000","2,700,200,000","2,622,300,000","2,554,300,000","2,523,700,000","2,509,800,000","2,511,100,000","2,528,900,000","2,527,000,000","2,300,000,000","1,291,800,000","1,299,100,000","1,322,300,000","1,336,500,000","1,331,900,000","1,342,400,000","1,260,100,000"
		NetPPE,"3,117,900,000","3,125,000,000","3,118,100,000","3,100,400,000","3,094,500,000","3,111,300,000","3,103,300,000","3,068,600,000","3,028,700,000","3,010,100,000","2,823,100,000","2,757,400,000","2,726,700,000","2,664,100,000","2,630,500,000","2,578,300,000","2,527,100,000","2,520,500,000","2,506,400,000","2,507,400,000","2,518,800,000","2,518,600,000","2,291,700,000","1,283,800,000","1,292,000,000","1,317,000,000","1,332,200,000","1,328,600,000","1,342,400,000","1,260,100,000"
			GrossPPE,"4,378,500,000","4,341,400,000","4,291,100,000","4,232,100,000","4,186,000,000","4,162,700,000","4,114,800,000","4,040,800,000","3,962,000,000","3,905,000,000","3,650,600,000","3,550,400,000","3,485,800,000","3,390,700,000","3,324,900,000","3,242,400,000","3,161,100,000","3,124,500,000","3,081,100,000","3,053,600,000","3,036,500,000","3,009,500,000","2,676,700,000","1,530,500,000","1,525,000,000","1,536,800,000","1,538,200,000","1,521,500,000","1,521,300,000","1,421,700,000"
				BuildingsAndImprovements,"182,300,000","182,300,000","182,300,000","182,300,000","182,300,000","182,300,000","182,300,000","182,300,000","182,300,000","182,300,000","182,300,000","182,300,000","182,300,000","182,300,000","182,300,000","182,300,000","182,300,000","182,300,000","182,300,000","182,300,000","182,300,000","182,300,000","182,400,000","181,400,000","181,400,000","183,700,000","184,200,000","185,200,000","183,300,000",
				MachineryFurnitureEquipment,"818,900,000","814,700,000","619,100,000","595,000,000","595,300,000","594,700,000","594,100,000","594,000,000","593,900,000","593,600,000","593,200,000","592,500,000","592,200,000","590,800,000","587,000,000","563,100,000","549,200,000","549,000,000","548,300,000","543,600,000","525,500,000","520,200,000","439,100,000","497,600,000","492,500,000","492,100,000","495,200,000","441,200,000","410,400,000","354,200,000"
				OtherProperties,"3,282,900,000","3,212,800,000","3,208,400,000","3,188,900,000","3,175,800,000","3,158,400,000","3,129,700,000","3,076,600,000","3,038,600,000","2,979,800,000","2,718,500,000","2,682,300,000","2,649,300,000","2,460,300,000","2,385,500,000","2,362,000,000","2,344,600,000","2,323,700,000","2,223,900,000","2,212,300,000","2,208,500,000","1,880,200,000","1,731,300,000","846,600,000","846,900,000","857,400,000","850,100,000","893,200,000","875,600,000","25,500,000"
				ConstructionInProgress,"94,400,000","131,600,000","281,300,000","265,900,000","232,600,000","227,300,000","208,700,000","187,900,000","147,200,000","149,300,000","156,600,000","93,300,000","62,000,000","157,300,000","170,100,000","135,000,000","85,000,000","69,500,000","126,600,000","115,400,000","120,200,000","426,800,000","323,900,000","4,900,000","4,200,000","3,600,000","8,700,000","1,900,000","52,000,000","1,042,000,000"
			AccumulatedDepreciation,"-1,260,600,000","-1,216,400,000","-1,173,000,000","-1,131,700,000","-1,091,500,000","-1,051,400,000","-1,011,500,000","-972,200,000","-933,300,000","-894,900,000","-827,500,000","-793,000,000","-759,100,000","-726,600,000","-694,400,000","-664,100,000","-634,000,000","-604,000,000","-574,700,000","-546,200,000","-517,700,000","-490,900,000","-385,000,000","-246,700,000","-233,000,000","-219,800,000","-206,000,000","-192,900,000","-178,900,000","-161,600,000"
		InvestmentsAndAdvances,"97,300,000","101,600,000","102,400,000","102,500,000","103,600,000","108,400,000","108,200,000","107,600,000","110,500,000","107,800,000","100,800,000","90,300,000","74,300,000","67,300,000","67,300,000","41,300,000","24,300,000",,,,,,,,,,,,,
