name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012
				ChangeInPayable,,,,"10,656,000","14,379,000","-10,297,000",,,,,,"10,009,000","9,834,000","-1,267,000","15,659,000","7,920,000","9,877,000","-6,873,000","2,906,000","4,043,000","-291,000","-5,733,000","5,666,000","-195,000","-1,862,000","-1,130,000","2,978,000","2,628,000","-1,365,000","1,144,000","2,562,000","903,000","1,156,000","208,000","1,120,000","832,000","-232,000","913,000","139,000","4,000"
					ChangeInAccountPayable,,,,"10,656,000","14,379,000","-10,297,000",,,,,,"10,009,000","9,834,000","-1,267,000","15,659,000","7,920,000","9,877,000","-6,873,000","2,906,000","4,043,000","-291,000","-5,733,000","5,666,000","-195,000","-1,862,000","-1,130,000","2,978,000","2,628,000","-1,365,000","1,144,000","2,562,000","903,000","1,156,000","208,000","1,020,000","566,000","-393,000","852,000","123,000","4,000"
				ChangeInAccruedExpense,,,,,,,,,,,,,,,,,,,,,,"-30,000",,,"0","-6,000",,,"6,000","-12,000",,,,,,,,,,
					ChangeInInterestPayable,,,,,,,,,,,,,,,,,,,,,,"-30,000",,,"0","-6,000",,,"6,000","-12,000",,,,,,,,,,
			ChangeInOtherCurrentLiabilities,"-4,658,000","-1,097,000","-3,242,000","769,000","-1,088,000","-1,846,000","-1,665,000","-1,416,000","-1,471,000","-1,458,000","-1,061,000","-1,312,000","-1,186,000","-1,123,000",,,,,,,,,,,,,,,,,,,,,,,,,,
			ChangeInOtherWorkingCapital,"18,395,000","5,685,000","10,616,000","871,000","1,223,000","747,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InvestingCashFlow,"-62,781,000","-42,300,000","2,063,000","1,131,000","-23,675,000","2,280,000","-975,000","942,000","39,729,000","33,483,000","-78,068,000","-98,061,000","-2,179,000","-4,939,000","-909,000","8,098,000","55,146,000","-41,546,000","16,787,000","-27,374,000","1,385,000","-33,605,000","4,085,000","8,887,000","2,692,000","2,436,000","-5,015,000","5,087,000","3,209,000","6,101,000","-50,739,000","6,347,000","448,000","-29,374,000","-35,000","-11,000","-11,000","-6,000","0","0"
	CashFlowFromContinuingInvestingActivities,"-62,781,000","-42,300,000","2,063,000","1,131,000","-23,675,000","2,280,000","-975,000","942,000","39,729,000","33,483,000","-78,068,000","-98,061,000","-2,179,000","-4,939,000","-909,000","8,098,000","55,146,000","-41,546,000","16,787,000","-27,374,000","1,385,000","-33,605,000","4,085,000","8,887,000","2,692,000","2,436,000","-5,015,000","5,087,000","3,209,000","6,101,000","-50,739,000","6,347,000","448,000","-29,374,000","-35,000","-11,000","-11,000","-6,000","0","0"
		NetPPEPurchaseAndSale,"-4,116,000","-1,597,000","-751,000","-1,163,000","-605,000","-772,000","-596,000","-814,000","-450,000","-1,240,000","-2,047,000","-793,000","-2,179,000","-4,939,000","-1,909,000","-6,372,000","-13,906,000","-9,126,000","-8,897,000","-4,479,000","-1,690,000","-904,000","-3,685,000","-933,000","-124,000","-335,000","-1,425,000","-803,000","-513,000","-539,000","-35,000","-87,000","-30,000","-29,000","-35,000","-11,000","-11,000","-6,000","0","0"
			PurchaseOfPPE,"-4,116,000","-1,597,000","-751,000","-1,163,000","-605,000","-772,000","-596,000","-814,000","-450,000","-1,240,000","-2,047,000","-793,000","-2,179,000","-4,939,000","-1,909,000","-6,372,000","-13,906,000","-9,126,000","-8,897,000","-4,479,000","-1,690,000","-904,000","-3,685,000","-933,000","-124,000","-335,000","-1,425,000","-803,000","-513,000","-539,000","-35,000","-87,000","-30,000","-29,000","-35,000","-11,000","-11,000","-6,000","0","0"
