name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,12/31/2015
		NonCurrentDeferredAssets,"81,880,000","79,961,000","71,023,000","67,189,000",,"58,980,000","54,791,000","53,046,000","50,537,000","49,709,000","43,549,000","41,553,000","37,266,000","34,172,000","30,054,000","28,486,000",,,,,,,,,
		OtherNonCurrentAssets,"3,951,000","869,000","4,195,000","4,228,000","68,811,000","4,017,000","1,785,000","1,678,000","2,042,000","1,937,000","2,933,000","2,927,000","2,093,000","2,693,000","2,061,000","2,048,000","28,379,000","1,391,000","1,857,000","1,517,000","1,471,000","1,449,000","4,747,000","4,024,000","2,895,000"
TotalLiabilitiesNetMinorityInterest,"1,778,951,000","1,463,843,000","1,387,603,000","1,376,994,000","1,351,010,000","678,911,000","621,703,000","616,282,000","608,407,000","611,034,000","574,765,000","192,199,000","180,242,000","167,912,000","152,261,000","150,352,000","140,954,000","146,256,000","126,334,000","121,211,000","131,889,000","129,027,000","178,687,000","129,986,000","120,582,000"
	CurrentLiabilities,"339,494,000","322,577,000","256,249,000","259,769,000","248,238,000","242,330,000","203,630,000","202,995,000","199,587,000","206,997,000","178,205,000","174,748,000","162,631,000","159,229,000","143,344,000","141,172,000","131,547,000","137,039,000","117,454,000","111,957,000","110,343,000","108,464,000","97,723,000","81,337,000","74,418,000"
		PayablesAndAccruedExpenses,"54,686,000","58,401,000","41,044,000","37,497,000","36,785,000","39,108,000","31,634,000","29,085,000","31,735,000","37,499,000","27,318,000","23,423,000","22,582,000","27,672,000","22,601,000","21,269,000","18,331,000","27,211,000","20,505,000","20,385,000","19,205,000","25,104,000","24,460,000","18,165,000","18,683,000"
			Payables,"24,573,000","17,241,000","6,933,000","8,248,000","8,365,000","8,646,000","5,007,000","8,801,000","14,659,000","11,599,000","5,698,000","5,797,000","7,079,000","7,989,000","4,876,000","4,608,000","8,034,000","9,052,000","3,812,000","6,202,000","5,544,000","8,718,000","10,629,000","7,283,000","5,695,000"
				AccountsPayable,"16,285,000","7,471,000","2,175,000","3,869,000","3,365,000","3,150,000","2,088,000","6,172,000","11,357,000","7,401,000","1,614,000","2,963,000","4,173,000","3,442,000","2,902,000","2,496,000","6,566,000","7,254,000","2,934,000","5,055,000","4,269,000","7,165,000","8,456,000","6,280,000","4,648,000"
				TotalTaxPayable,"8,288,000","9,770,000","4,758,000","4,379,000","5,000,000","5,496,000","2,919,000","2,629,000","3,302,000","4,198,000","4,084,000","2,834,000","2,906,000","4,547,000","1,974,000","2,112,000","1,468,000","1,798,000","878,000","1,147,000","1,275,000","1,553,000","2,173,000","1,003,000","1,047,000"
			CurrentAccruedExpenses,"30,113,000","41,160,000","34,111,000","29,249,000","28,420,000","30,462,000","26,627,000","20,284,000","17,076,000","25,900,000","21,620,000","17,626,000","15,503,000","19,683,000","17,725,000","16,661,000","10,297,000","18,159,000","16,693,000","14,183,000","13,661,000","16,386,000","13,831,000","10,882,000","12,988,000"
		CurrentProvisions,,,,,,,,,,,,,,"475,000","475,000","475,000","475,000","475,000","341,000","341,000","341,000",,,,
		CurrentDebtAndCapitalLeaseObligation,"5,630,000","5,309,000","3,589,000","4,020,000","4,136,000","4,147,000","4,289,000","4,499,000","4,555,000","4,938,000","4,779,000","5,017,000","5,017,000",,,,,"442,000","442,000","442,000","442,000","992,000","558,000","558,000","558,000"
			CurrentCapitalLeaseObligation,"5,630,000","5,309,000","3,589,000","4,020,000","4,136,000","4,147,000","4,289,000","4,499,000","4,555,000","4,938,000","4,779,000","5,017,000","5,017,000","0","0",,"0","442,000","442,000","442,000","442,000","992,000","558,000","558,000","558,000"
		CurrentDeferredLiabilities,"242,300,000","242,429,000","209,608,000","206,564,000","193,429,000","191,137,000","165,699,000","167,403,000","161,289,000","162,552,000","144,100,000","144,300,000","133,024,000","129,074,000","118,260,000","117,420,000","110,733,000","106,903,000","94,158,000","88,781,000","88,347,000","80,360,000","70,697,000","60,606,000","53,169,000"
			CurrentDeferredRevenue,"242,300,000","242,429,000","209,608,000","206,564,000","193,429,000","191,137,000","165,699,000","167,403,000","161,289,000","162,552,000","144,100,000","144,300,000","133,024,000","129,074,000","118,260,000","117,420,000","110,733,000","106,903,000","94,158,000","88,781,000","88,347,000","80,360,000","69,774,000","60,501,000","52,750,000"
		OtherCurrentLiabilities,"36,878,000","16,438,000","2,008,000","11,688,000","13,888,000","7,938,000","2,008,000","2,008,000","2,008,000","2,008,000","2,008,000","2,008,000","2,008,000","2,008,000","2,008,000","2,008,000","2,008,000","2,008,000","2,008,000","2,008,000","2,008,000","2,008,000","2,008,000","2,008,000","2,008,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"1,439,457,000","1,141,266,000","1,131,354,000","1,117,225,000","1,102,772,000","436,581,000","418,073,000","413,287,000","408,820,000","404,037,000","396,560,000","17,451,000","17,611,000","8,683,000","8,917,000","9,180,000","9,407,000","9,217,000","8,880,000","9,254,000","21,546,000","20,563,000","80,964,000","48,649,000","46,164,000"
		LongTermDebtAndCapitalLeaseObligation,"1,394,214,000","1,128,311,000","1,103,436,000","1,088,387,000","1,073,567,000","414,388,000","409,045,000","404,183,000","399,609,000","394,949,000","390,566,000","11,687,000","12,000,000",,,,,,,,,,"65,270,000","34,399,000","28,825,000"
			LongTermDebt,"1,380,152,000","1,114,239,000","1,097,973,000","1,081,942,000","1,066,352,000","407,032,000","401,217,000","395,459,000","389,875,000","384,343,000","378,856,000",,,,,,,,,,,,"64,836,000","34,399,000","28,267,000"
