name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,06/30/2017
			OtherEquityAdjustments,"19,096,000","14,876,000","18,453,000","16,404,000","16,674,000","18,219,000","20,863,000","21,710,000","13,917,000","13,978,000","928,000","2,853,000","7,122,000","27,234,000","25,841,000","8,840,000","8,137,000","9,249,000"
TotalCapitalization,"395,008,000","363,608,000","334,680,000","300,669,000","275,348,000","258,842,000","248,752,000","236,327,000","207,854,000","189,981,000","182,785,000","166,329,000","155,637,000","148,593,000","136,912,000","69,499,000","62,529,000","48,720,000"
CommonStockEquity,"395,008,000","363,608,000","334,680,000","300,669,000","275,348,000","258,842,000","248,752,000","236,327,000","207,854,000","189,981,000","182,785,000","166,329,000","155,636,000","148,590,000","136,900,000","69,499,000","62,495,000","48,720,000"
CapitalLeaseObligations,"55,815,000","56,608,000","60,555,000","63,685,000","46,731,000","51,291,000","51,665,000","53,365,000","51,150,000","50,034,000","38,155,000","21,000",,,,"64,000",,"151,000"
NetTangibleAssets,"192,508,000","174,655,000","140,345,000","106,702,000","122,972,000","121,142,000","107,019,000","140,691,000","112,128,000","99,036,000","117,471,000","100,659,000","85,639,000","75,840,000","65,025,000","-2,350,000","-6,823,000","16,493,000"
WorkingCapital,"165,577,000","140,556,000","107,520,000","86,875,000","105,114,000","97,923,000","80,739,000","111,061,000","88,153,000","70,214,000","90,025,000","82,676,000","73,997,000","66,220,000","56,381,000","-3,042,000","-5,197,000","11,028,000"
InvestedCapital,"395,008,000","363,608,000","334,680,000","300,669,000","275,348,000","258,842,000","248,752,000","236,327,000","207,876,000","190,935,000","182,797,000","166,329,000","155,666,000","148,632,000","136,953,000","89,199,000","86,141,000","78,034,000"
TangibleBookValue,"192,508,000","174,655,000","140,345,000","106,702,000","122,972,000","121,142,000","107,019,000","140,691,000","112,128,000","99,036,000","117,471,000","100,659,000","85,639,000","75,840,000","65,025,000","-2,350,000","-6,823,000","16,493,000"
TotalDebt,"55,815,000","56,608,000","60,555,000","63,685,000","46,731,000","51,291,000","51,665,000","53,365,000","51,172,000","50,988,000","38,167,000","21,000","30,000","42,000","53,000","19,764,000","23,646,000","29,465,000"
NetDebt,,,,,,,,,,,,,,,,"4,652,000","14,184,000","5,743,000"
ShareIssued,,"55,994,097","55,718,456","55,718,456","55,718,456","55,117,345","54,928,169","54,928,169","54,928,169",,"54,425,327","54,425,327","54,256,028","53,033,140","53,033,140","49,804,145","49,804,145","49,804,145"
OrdinarySharesNumber,,"55,994,097","55,718,456","55,718,456","55,718,456","55,117,345","54,928,169","54,928,169","54,928,169",,"54,425,327","54,425,327","54,256,028","53,033,140","53,033,140","49,804,145","49,804,145","49,804,145"
