name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,12/31/2014
			LongTermCapitalLeaseObligation,"136,445,000","132,891,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredLiabilities,,,,,,"0","1,182,000","2,363,000","3,519,000","4,688,000","170,863,000","178,761,000","186,660,000","194,386,000","202,285,000","207,229,000","211,125,000","216,255,000","223,359,000","230,463,000","237,489,000","244,438,000","253,947,000","266,447,000","278,812,000","291,041,000","303,541,000","340,771,000"
			NonCurrentDeferredRevenue,,,,,,"0","1,182,000","2,363,000","3,519,000","4,688,000","170,863,000","178,761,000","186,660,000","194,386,000","202,285,000","207,229,000","211,125,000","216,255,000","223,359,000","230,463,000","237,489,000","244,438,000","253,947,000","266,447,000","278,812,000","291,041,000","303,541,000","340,771,000"
		TradeandOtherPayablesNonCurrent,,,,,,"0","71,726,000","70,055,000","68,440,000","66,862,000",,,,,,,,,,,,,,,,,,
		OtherNonCurrentLiabilities,"372,018,000","362,142,000","354,585,000","342,680,000","331,392,000","320,965,000","307,483,000","301,174,000","7,245,000","6,982,000","6,198,000","7,594,000","8,472,000","524,000","531,000","1,039,000","46,000","53,000","7,000","29,000","51,000","72,000","94,000","116,000","137,000","249,000","362,000","981,000"
TotalEquityGrossMinorityInterest,"127,785,000","185,989,000","255,977,000","313,829,000","369,333,000","417,431,000","185,844,000","231,627,000","228,647,000","256,857,000","-67,423,000","-33,473,000","-4,610,000","15,159,000","37,545,000","-167,874,000","-142,701,000","-146,973,000","-132,422,000","-230,308,000","-220,305,000","-215,048,000","-212,289,000","-212,144,000","-273,009,000","-273,156,000","-272,568,000","-274,246,000"
	StockholdersEquity,"127,785,000","185,989,000","255,977,000","313,829,000","369,333,000","417,431,000","185,844,000","231,627,000","228,647,000","256,857,000","-67,423,000","-33,473,000","-4,610,000","15,159,000","37,545,000","-167,874,000","-142,701,000","-146,973,000","-132,422,000","-230,308,000","-220,305,000","-215,048,000","-212,289,000","-212,144,000","-273,009,000","-273,156,000","-272,568,000","-274,246,000"
		CapitalStock,"36,000","36,000","36,000","36,000","36,000","36,000","34,000","34,000","33,000","33,000","31,000","30,000","30,000","30,000","30,000","26,000","27,000","27,000","26,000","23,000","23,000","23,000","23,000","23,000","16,000","16,000","102,000","102,000"
			CommonStock,"36,000","36,000","36,000","36,000","36,000","36,000","34,000","34,000","33,000","33,000","31,000","30,000","30,000","30,000","30,000","26,000","27,000","27,000","26,000","23,000","23,000","23,000","23,000","23,000","16,000","16,000","102,000","102,000"
		AdditionalPaidInCapital,"1,457,222,000","1,441,584,000","1,426,187,000","1,412,193,000","1,394,997,000","1,375,640,000","1,078,279,000","1,058,606,000","988,046,000","967,317,000","456,097,000","450,354,000","444,837,000","435,452,000","432,273,000","196,013,000","192,962,000","190,145,000","188,030,000","77,837,000","76,252,000","74,298,000","72,987,000","72,235,000","10,441,000","10,036,000","9,018,000","7,636,000"
		RetainedEarnings,"-1,329,473,000","-1,255,631,000","-1,170,246,000","-1,098,400,000","-1,025,700,000","-958,245,000","-892,469,000","-827,013,000","-759,432,000","-710,493,000","-523,551,000","-483,857,000","-449,477,000","-420,323,000","-394,758,000","-363,913,000","-335,688,000","-337,143,000","-320,463,000","-308,153,000","-296,565,000","-289,354,000","-285,218,000","-284,321,000","-283,385,000","-283,127,000","-281,381,000","-281,677,000"
		OtherEquityInterest,,,,,,,,,,,,,,,,,"-2,000","-2,000","-15,000","-15,000","-15,000","-15,000","-81,000","-81,000","-81,000","-81,000","-307,000","-307,000"
TotalCapitalization,"127,785,000","185,989,000","255,977,000","313,829,000","369,333,000","417,431,000","185,844,000","231,627,000","384,153,000","411,874,000","7,500,000","46,424,000","74,948,000","94,378,000","116,426,000","-89,283,000","-125,724,000","-128,588,000","-112,589,000","-210,516,000","-200,552,000","-215,048,000","-212,289,000","-212,144,000","-273,009,000","-273,156,000","-272,568,000","-274,246,000"
CommonStockEquity,"127,785,000","185,989,000","255,977,000","313,829,000","369,333,000","417,431,000","185,844,000","231,627,000","228,647,000","256,857,000","-67,423,000","-33,473,000","-4,610,000","15,159,000","37,545,000","-167,874,000","-142,701,000","-146,973,000","-132,422,000","-230,308,000","-220,305,000","-215,048,000","-212,289,000","-212,144,000","-273,009,000","-273,156,000","-272,568,000","-274,246,000"
CapitalLeaseObligations,"141,587,000","136,033,000",,,,,,,,,,,,,,,,,,,,,,,,,,
NetTangibleAssets,"127,785,000","185,989,000","255,977,000","313,829,000","369,333,000","417,431,000","185,844,000","231,627,000","228,647,000","256,857,000","-67,423,000","-33,473,000","-4,610,000","15,159,000","37,545,000","-167,874,000","-142,701,000","-146,973,000","-132,422,000","-230,308,000","-220,305,000","-215,048,000","-212,289,000","-212,144,000","-273,009,000","-273,156,000","-272,568,000","-274,246,000"
WorkingCapital,"493,716,000","542,481,000","600,377,000","646,575,000","691,161,000","728,136,000","560,270,000","593,282,000","451,016,000","477,262,000","171,969,000","219,502,000","256,267,000","286,353,000","316,951,000","116,678,000","83,381,000","85,492,000","108,243,000","17,545,000","34,525,000","27,652,000","39,849,000","52,923,000","4,393,000","16,439,000","25,755,000","48,603,000"
InvestedCapital,"127,785,000","185,989,000","255,977,000","313,829,000","369,333,000","417,431,000","185,844,000","231,627,000","384,153,000","411,874,000","12,813,000","46,424,000","74,948,000","94,378,000","116,426,000","-89,283,000","-123,031,000","-127,359,000","-112,589,000","-210,516,000","-200,552,000","-215,048,000","-212,289,000","-212,144,000","-273,009,000","-273,156,000","-272,568,000","-274,246,000"
TangibleBookValue,"127,785,000","185,989,000","255,977,000","313,829,000","369,333,000","417,431,000","185,844,000","231,627,000","228,647,000","256,857,000","-67,423,000","-33,473,000","-4,610,000","15,159,000","37,545,000","-167,874,000","-142,701,000","-146,973,000","-132,422,000","-230,308,000","-220,305,000","-215,048,000","-212,289,000","-212,144,000","-273,009,000","-273,156,000","-272,568,000","-274,246,000"
TotalDebt,"141,587,000","136,033,000",,,,,,,"155,506,000","155,017,000","80,236,000","79,897,000","79,558,000","79,219,000","78,881,000","78,591,000","19,670,000","19,614,000","19,833,000","19,792,000","19,753,000",,,,,,,
ShareIssued,"36,444,763","36,397,446","36,391,289","36,378,808","36,269,810","36,154,085","33,878,687","33,584,851","33,236,923","33,196,707","30,124,499","30,097,934","30,043,143","29,728,858","29,697,530","26,205,858","26,162,599","26,141,506","26,114,469","22,365,891","22,365,607","22,344,894","22,336,067","22,325,627","19,998,106","19,998,106","19,998,106","19,998,106"
OrdinarySharesNumber,"36,444,763","36,397,446","36,391,289","36,378,808","36,269,810","36,154,085","33,878,687","33,584,851","33,236,923","33,196,707","30,124,499","30,097,934","30,043,143","29,728,858","29,697,530","26,205,858","26,162,599","26,141,506","26,114,469","22,365,891","22,365,607","22,344,894","22,336,067","22,325,627","19,998,106","19,998,106","19,998,106","19,998,106"
