name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010
EndCashPosition,"626,000,000","622,000,000","582,000,000","1,091,000,000","804,000,000","843,000,000","847,000,000","750,000,000","906,000,000","953,000,000","673,000,000","750,000,000","255,000,000","353,000,000","293,000,000","381,000,000","365,000,000","291,000,000","228,000,000","306,000,000","275,000,000","293,000,000","331,000,000","323,000,000","236,000,000","212,000,000","282,000,000","228,000,000","62,000,000","119,000,000","53,000,000","129,000,000","45,000,000","126,000,000","162,000,000","142,000,000","25,000,000","16,000,000","32,000,000","87,000,000","38,000,000","32,000,000","29,000,000","42,000,000","171,000,000","126,000,000","120,000,000"
	ChangesInCash,"-217,000,000","34,000,000","-506,000,000","305,000,000","-50,000,000","14,000,000","59,000,000","-166,000,000","-50,000,000","304,000,000","-94,000,000","504,000,000","-100,000,000","59,000,000","-87,000,000","15,000,000","83,000,000","63,000,000","-79,000,000","28,000,000","-25,000,000","-42,000,000","14,000,000","87,000,000","25,000,000","-73,000,000","56,000,000","169,000,000","-57,000,000","68,000,000","-73,000,000","85,000,000","-80,000,000","-36,000,000","20,000,000","116,000,000","10,000,000","-16,000,000","-55,000,000","48,000,000","7,000,000","3,000,000","-13,000,000","-130,000,000","46,000,000","6,000,000","-28,000,000"
	EffectOfExchangeRateChanges,"-4,000,000","6,000,000","-3,000,000","-18,000,000","11,000,000","-18,000,000","38,000,000","10,000,000","3,000,000","-24,000,000","17,000,000","-9,000,000","2,000,000","1,000,000","-1,000,000","1,000,000","-9,000,000","0","1,000,000","3,000,000","7,000,000","4,000,000","-6,000,000",,"-1,000,000","3,000,000","-2,000,000","-3,000,000","0","-2,000,000","-3,000,000","-1,000,000","-1,000,000","0","0","1,000,000","-1,000,000","0","0","1,000,000","-1,000,000","0","0","1,000,000","-1,000,000","0","0"
	BeginningCashPosition,"843,000,000","582,000,000","1,091,000,000","804,000,000","843,000,000","847,000,000","750,000,000","906,000,000","953,000,000","673,000,000","750,000,000","255,000,000","353,000,000","293,000,000","381,000,000","365,000,000","291,000,000","228,000,000","306,000,000","275,000,000","293,000,000","331,000,000","323,000,000","236,000,000","212,000,000","282,000,000","228,000,000","62,000,000","119,000,000","53,000,000","129,000,000","45,000,000","126,000,000","162,000,000","142,000,000","25,000,000","16,000,000","32,000,000","87,000,000","38,000,000","32,000,000","29,000,000","42,000,000","171,000,000","126,000,000","120,000,000","148,000,000"
CapitalExpenditure,"-679,000,000","-205,000,000","-162,000,000","-156,000,000","-156,000,000","-202,000,000","-162,000,000","-164,000,000","-156,000,000","-115,000,000","-148,000,000","-128,000,000","-104,000,000","-92,000,000","-75,000,000","-66,000,000","-86,000,000","-90,000,000","-94,000,000","-68,000,000","-66,000,000","-70,000,000","-65,000,000","-60,000,000","-55,000,000","-80,000,000","-93,000,000","-56,000,000","-45,000,000","-44,000,000","-35,000,000","-43,000,000","-58,000,000","-67,000,000","-47,000,000","-60,000,000","-72,000,000","-62,000,000","-45,000,000","-63,000,000","-61,000,000","-61,000,000","-45,000,000","-34,000,000","-32,000,000","-48,000,000","-46,000,000"
IssuanceOfCapitalStock,"43,000,000","6,000,000","16,000,000","3,000,000","18,000,000","32,000,000","7,000,000","24,000,000","3,000,000","1,000,000","2,000,000","12,000,000","23,000,000","15,000,000","5,000,000","6,000,000","5,000,000","8,000,000","4,000,000","5,000,000","11,000,000","10,000,000","5,000,000","6,000,000","9,000,000","4,000,000","7,000,000","2,000,000","3,000,000","6,000,000","7,000,000","4,000,000","3,000,000","7,000,000","3,000,000","6,000,000","17,000,000","0","442,000,000",,,,,,,,
IssuanceOfDebt,"644,000,000","244,000,000","0","0","400,000,000","1,566,000,000","750,000,000","0","0",,,"6,784,000,000","0",,,"1,000,000","0",,,"-50,000,000","-50,000,000","595,000,000","0","0","0","-2,000,000","2,492,000,000","-9,000,000","702,000,000","0","0","-37,000,000","538,000,000","1,123,000,000","3,000,000","0","-1,000,000","1,391,000,000","1,000,000","2,000,000","0","0","0","195,000,000","0","0","800,000,000"
RepaymentOfDebt,"-822,000,000","-4,000,000","-5,000,000","-209,000,000","-604,000,000","-1,698,000,000","-985,000,000","-577,000,000","-375,000,000","-1,320,000,000","-164,000,000","-831,000,000","-261,000,000","-12,000,000","-110,000,000","-111,000,000","-107,000,000","-9,000,000","-108,000,000","-209,000,000","-110,000,000","-307,000,000","-10,000,000","-134,000,000","-123,000,000","-167,000,000","-100,000,000","-11,000,000","-815,000,000","-9,000,000","-116,000,000","-12,000,000","-525,000,000","-1,137,000,000","-13,000,000","-10,000,000","-66,000,000","-1,380,000,000","-522,000,000","-113,000,000","6,000,000","-3,000,000","-65,000,000","-48,000,000","-8,000,000","-6,000,000","-818,000,000"
RepurchaseOfCapitalStock,"-351,000,000","-300,000,000","-51,000,000",,,,,"0","0","0","0","0","0","-22,000,000","-52,000,000",,,,,,,,,,,,,,,,,,,,,"0","0",,,"0","0","-6,000,000","0","-1,000,000","0","-4,000,000","3,000,000"
FreeCashFlow,"249,000,000","85,000,000","-466,000,000","512,000,000","118,000,000","121,000,000","153,000,000","387,000,000","290,000,000","200,000,000","70,000,000","502,000,000","136,000,000","78,000,000","86,000,000","382,000,000","185,000,000","42,000,000","59,000,000","327,000,000","181,000,000","120,000,000","78,000,000","230,000,000","151,000,000","90,000,000","98,000,000","189,000,000","135,000,000","68,000,000","65,000,000","117,000,000","62,000,000","11,000,000","125,000,000","107,000,000","60,000,000","16,000,000","42,000,000","138,000,000","62,000,000","5,000,000","44,000,000","88,000,000","60,000,000","16,000,000","3,000,000"
