name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012
AverageDilutionEarnings,"-139,486,000","0",,"-698,000",,,,"0","0",,"0",,"56,281,000","-203,768,000","-601,857,000",,"626,412,000","0","-512,516,000","-286,365,000","65,181,000","0","-178,071,000","-33,158,000","-58,147,000","-237,942,000","0","-435,559,000","0",,,,,,,,,,,
DilutedNIAvailtoComStockholders,"287,156,000","38,415,000","75,545,000","121,306,000","26,392,000","48,321,000","43,969,000","142,155,000","-368,765,000","340,728,000","-443,668,000","723,731,000","-231,027,000","62,040,000","92,032,000","-681,333,000","303,201,000","-103,537,000","-231,316,000","50,065,000","-181,838,000","-79,800,000","154,695,000","37,144,000","43,498,000","62,006,000","-54,383,000","35,595,000","-84,076,000","-374,853,000","-32,979,000","-373,384,000","470,040,000","530,588,000","-3,713,408,000","-278,000","-797,000","4,229,000","1,991,000","2,256,000"
BasicEPS,,"0.32","0.62","0.99","0.41","0.4","0.36","1.43","-0.31","4.91","-6.87","11.53","-4.65","4.29","11.59","-12.8","-6.17","-1.93","5.09","6.36",,"-1.58","6.73","1.49",,"6.71","-1.31","12.49","-2.24","-10.05","-0.93","-11.53","15.18","16.39","-114.7","-0.05",,"0.15","0.071","0.08"
DilutedEPS,,"0.32","0.62","0.97","0.4","0.39","0.36","1.42","-0.31","0.54","-6.87","0.49","-4.65","0.48","0.69","-12.8","-6.17","-1.93","-1.66","0.36",,"-1.58","1.09","0.26",,"0.43","-1.31","0.24","-2.24","-10.05","-0.93","-11.53","15.09","16.3","-114.7","-0.05",,"0.15","0.071","0.08"
BasicAverageShares,,"118,697,000","121,181,000","122,945,000","122,341,000","122,254,000","122,127,000","99,575,000","71,425,000","69,451,000","64,552,000","62,785,000","61,725,000","62,020,000","59,876,000","53,221,000","52,412,000","53,529,000","55,209,000","52,909,000",,"50,525,000","49,445,000","47,214,000",,"44,716,000","41,575,000","37,735,000","37,576,000","37,316,000","35,589,000","32,376,000","32,375,000","32,375,000","32,375,000","5,627,000",,"28,151,958","28,151,958","28,151,958"
DilutedAverageShares,,"119,813,000","122,473,000","124,573,000","122,341,000","123,116,000","122,919,000","100,130,000","71,425,000","122,470,000","64,552,000","126,632,000","61,725,000","129,072,000","133,672,000","53,221,000","52,412,000","53,529,000","139,237,000","140,046,000",,"50,525,000","141,308,000","142,962,000",,"145,018,000","41,575,000","145,560,000","37,576,000","37,316,000","35,589,000","32,376,000","32,569,000","32,556,000","32,375,000","5,627,000",,"28,151,958","28,151,958","28,151,958"
TotalOperatingIncomeAsReported,"270,815,000","56,824,000","77,964,000","72,279,000","63,748,000","66,190,000","70,004,000","56,975,000","67,228,000","101,812,000","120,533,000","84,047,000","91,118,000","85,860,000","98,831,000","92,705,000","105,256,000","98,610,000","265,284,000","70,480,000","91,511,000","79,052,000","74,641,000","72,516,000","52,826,000","74,758,000","70,093,000","68,271,000","65,321,000","68,911,000","65,665,000","66,145,000","62,324,000","69,525,000","61,249,000","109,279,000","104,065,000","99,966,000","84,057,000","84,579,000"
TotalExpenses,"1,302,895,000","291,009,000","301,251,000","292,868,000","417,767,000","403,733,000","352,823,000","289,912,000","275,525,000","233,011,000","199,073,000","218,363,000","-119,758,000","337,015,000","323,026,000","308,841,000","328,700,000","326,728,000","146,114,000","320,084,000","311,587,000","300,751,000","283,859,000","240,756,000","248,595,000","223,911,000","221,576,000","202,564,000","201,232,000","192,812,000","183,780,000","163,163,000","173,142,000","156,073,000","147,660,000","131,297,000","136,536,000","123,732,000","122,368,000","113,987,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"285,513,000","38,415,000","75,545,000","122,004,000","26,392,000","48,321,000","43,969,000","168,840,000","26,298,000","38,159,000","36,485,000","29,422,000","9,666,000","30,414,000","42,180,000","26,860,000","30,509,000","23,502,000","-36,716,000","16,006,000","37,199,000","20,174,000","47,558,000","8,494,000","10,544,000","15,539,000","11,178,000","4,353,000","7,990,000","12,209,000","9,271,000","9,273,000","8,879,000","13,525,000","6,404,000","-278,000","-797,000","4,229,000","1,991,000","2,256,000"
NormalizedIncome,"235,913,059.57","38,415,000","75,545,000","66,612,960","30,575,630","52,425,050","54,559,110","170,240,870","29,266,282.585","51,364,700","13,808,940","29,032,000","65,898,746.709","30,677,610","42,180,000","26,860,000","31,149,348.314","23,506,250","-36,476,000","17,101,600","37,118,600","20,841,000","-81,486,790","9,576,334","10,544,000","15,539,000","11,178,000","4,353,000","17,135,800","13,182,000","9,271,000","9,273,000","8,381,262.393","-21,107,750","6,404,000","-281,968","-797,000","4,229,000","1,991,000","2,256,000"
