name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017
CommonStockEquity,"415,102,000","417,320,000","408,899,000","399,673,000","388,986,000","393,461,000","385,195,000","367,248,000","351,111,000","349,184,000","343,550,000","326,183,000","308,835,000","304,623,000","299,469,000","284,325,000","175,034,000","163,177,000","152,181,000"
CapitalLeaseObligations,"11,709,000","11,198,000","6,697,000","6,821,000","6,971,000","7,134,000","7,600,000","8,089,000","8,780,000","8,748,000",,,,,,,,,
NetTangibleAssets,"278,327,000","292,259,000","319,314,000","316,095,000","306,791,000","313,255,000","335,623,000","317,623,000","301,434,000","300,336,000","301,570,000","286,124,000","268,561,000","268,183,000","262,815,000","247,602,000","142,034,000","130,102,000","119,031,000"
WorkingCapital,"151,285,000","155,824,000","142,063,000","221,794,000","106,416,000","121,104,000","195,732,000","149,861,000","131,941,000","131,615,000","151,793,000","127,627,000","117,562,000","136,038,000","132,914,000","117,700,000","48,031,000","55,789,000","60,584,000"
InvestedCapital,"742,405,000","701,052,000","625,074,000","598,264,000","474,666,000","482,328,000","477,248,000","433,204,000","416,664,000","406,844,000","393,546,000","378,050,000","364,372,000","363,827,000","362,357,000","350,899,000","222,209,000","212,832,000","209,317,000"
TangibleBookValue,"278,327,000","292,259,000","319,314,000","316,095,000","306,791,000","313,255,000","335,623,000","317,623,000","301,434,000","300,336,000","301,570,000","286,124,000","268,561,000","268,183,000","262,815,000","247,602,000","142,034,000","130,102,000","119,031,000"
TotalDebt,"339,012,000","294,930,000","222,872,000","205,412,000","92,651,000","96,001,000","99,653,000","74,045,000","74,333,000","66,408,000","49,996,000","51,867,000","55,537,000","59,204,000","62,888,000","66,574,000","47,175,000","49,655,000","57,136,000"
NetDebt,"297,695,000","248,167,000","158,924,000","64,123,000","51,931,000","37,148,000",,,"11,759,000","8,217,000",,,,,,,"21,378,000","19,436,000","29,589,000"
ShareIssued,"52,546,137","52,438,399","55,215,430","55,215,430","55,215,430","54,704,697","54,704,697","54,704,697","54,704,697","54,704,697","54,704,697","54,604,914","54,337,571","54,337,571","54,337,571","54,337,571","44,987,574","41,817,541","41,817,541"
OrdinarySharesNumber,"52,544,954","52,437,216","52,292,478","52,292,478","52,292,478","51,781,745","51,781,745","51,781,745","51,781,745","51,781,745","51,781,745","51,681,962","51,414,619","51,414,619","51,414,619","51,414,619","41,817,541","41,817,541","41,817,541"
TreasurySharesNumber,"2,924,135","2,924,135","2,922,952","2,922,952","2,922,952","2,922,952","2,922,952","2,922,952","2,922,952","2,922,952","2,922,952","2,922,952","2,922,952","2,922,952","5,845,904","2,922,952","3,170,033",,
