name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012
			CommonStockDividendPaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","-241,703,000","0","0","-326,148,000"
		ProceedsFromStockOptionExercised,"-70,000,000","-67,000,000","-8,000,000","4,000,000","1,000,000","-56,000,000","-1,000,000","-2,000,000","0","-41,000,000","-4,000,000","3,000,000","3,000,000","9,000,000","-3,000,000","20,000,000","9,000,000","-11,000,000",,,,,,,,,,,,,,,"5,397,000","5,916,000","12,175,000","111,000","57,000","196,000",,"54,000","145,000","151,000"
		NetOtherFinancingCharges,"-809,000,000","-12,000,000","-3,000,000","-11,000,000","-783,000,000","-43,000,000","1,000,000","-15,000,000","-32,000,000","-22,000,000","-11,000,000","-41,000,000","-17,000,000","-16,000,000","-11,000,000","-13,000,000","-39,000,000","-14,000,000","6,000,000","-29,000,000","-10,000,000","-21,000,000","14,820,000","9,084,000","2,898,000","2,198,000","927,000","5,408,000","-1,350,000","9,058,000","2,941,000","4,189,000","2,773,000","-2,575,000","-72,636,000","-264,000",,,"-9,643,000","0",,
EndCashPosition,"1,425,000,000","1,387,000,000","1,366,000,000","1,470,000,000","1,807,000,000","2,305,000,000","1,814,000,000","1,464,000,000","1,109,000,000","927,000,000","837,000,000","863,000,000","938,000,000","936,000,000","891,000,000","827,000,000","879,000,000","960,000,000","959,000,000","1,103,000,000","902,000,000","862,000,000","1,198,000,000","1,209,677,000","955,684,000","1,053,212,000","977,151,000","1,081,804,000","803,615,000","779,068,000","867,358,000","645,034,000","636,468,000","741,381,000","778,143,000","609,710,000","585,722,000","454,293,000","567,728,000","506,310,000","476,242,000","446,274,000"
	ChangesInCash,"-880,000,000","39,000,000","-93,000,000","-317,000,000","-509,000,000","523,000,000","316,000,000","330,000,000","180,000,000","120,000,000","-40,000,000","-31,000,000","-4,000,000","26,000,000","81,000,000","-39,000,000","-71,000,000","21,000,000","-138,000,000","195,000,000","11,000,000","-360,000,000","54,046,000","262,318,000","-73,016,000","63,652,000","-92,213,000","294,274,000","13,727,000","-56,298,000","242,803,000","33,890,000","-108,988,000","-39,409,000","169,971,000","14,418,000","135,374,000","-91,611,000","67,389,000","23,493,000","35,865,000","-70,152,000"
	EffectOfExchangeRateChanges,"-38,000,000","-18,000,000","-11,000,000","-20,000,000","11,000,000","-32,000,000","34,000,000","25,000,000","2,000,000","-30,000,000","14,000,000","-44,000,000","6,000,000","19,000,000","-17,000,000","-13,000,000","-10,000,000","-20,000,000","-6,000,000","6,000,000","29,000,000","24,000,000","-65,572,000","-8,325,000","-24,512,000","12,409,000","-12,440,000","-16,085,000","10,820,000","-31,992,000","-20,479,000","-25,324,000","4,075,000","2,647,000","-1,538,000","9,570,000","-3,945,000","-21,824,000","-5,971,000","6,575,000","-5,897,000","127,000"
	BeginningCashPosition,"2,305,000,000","1,366,000,000","1,470,000,000","1,807,000,000","2,305,000,000","1,814,000,000","1,464,000,000","1,109,000,000","927,000,000","837,000,000","863,000,000","938,000,000","936,000,000","891,000,000","827,000,000","879,000,000","960,000,000","959,000,000","1,103,000,000","902,000,000","862,000,000","1,198,000,000","1,209,677,000","955,684,000","1,053,212,000","977,151,000","1,081,804,000","803,615,000","779,068,000","867,358,000","645,034,000","636,468,000","741,381,000","778,143,000","609,710,000","585,722,000","454,293,000","567,728,000","506,310,000","476,242,000","446,274,000","516,299,000"
CapitalExpenditure,"-668,000,000","-177,000,000","-184,000,000","-162,000,000","-145,000,000","-149,000,000","-176,000,000","-157,000,000","-142,000,000","-141,000,000","-137,000,000","-149,000,000","-155,000,000","-141,000,000","-138,000,000","-123,000,000","-110,000,000","-88,000,000","-102,000,000","-89,000,000","-100,000,000","-78,000,000","-85,924,000","-20,703,000","-31,174,000","-26,199,000","-21,699,000","-24,768,000","-15,492,000","-16,432,000","-24,868,000","-21,950,000","-18,126,000","-17,706,000","-14,407,000","-13,663,000","-32,817,000","-31,459,000","-21,983,000","-15,425,000","-22,782,000","-11,146,000"
IssuanceOfCapitalStock,,,,,,,,,,,,,,,,,,,"5,000,000","17,000,000","40,000,000","29,000,000","54,070,000","28,098,000","9,497,000","5,335,000","5,974,000","13,015,000","26,814,000","18,494,000","12,132,000","23,096,000",,,"35,440,000","-381,000","489,792,000","149,000","2,466,000","0","1,000,000","0"
IssuanceOfDebt,"1,960,000,000","950,000,000","400,000,000","610,000,000","0","1,751,000,000","0","1,000,000","1,050,000,000","1,790,000,000","812,000,000","1,410,000,000","1,410,000,000","790,000,000","645,000,000","340,000,000","2,686,000,000","405,000,000","699,000,000","1,613,000,000","363,000,000","4,488,000,000","638,000,000","0",,,"0","0",,,,,,,"2,060,755,000","0","0","0","2,153,227,000","0","-20,000","287,810,000"
RepaymentOfDebt,"-1,257,000,000","-324,000,000","-323,000,000","-574,000,000","-36,000,000","-1,758,000,000","-97,000,000","-37,000,000","-1,090,000,000","-1,275,000,000","-870,000,000","-1,035,000,000","-1,360,000,000","-410,000,000","-185,000,000","-415,000,000","-2,135,000,000","-326,000,000","-297,000,000","-950,000,000","-49,000,000","-3,356,000,000","-1,913,384,000","-12,785,000","-12,308,000","-12,523,000","-12,865,000","-13,160,000","-2,033,841,000","-1,210,000","-176,040,000","-6,263,000","-132,000","-334,000","-2,062,605,000","-982,000","-350,521,000","-34,304,000","-1,983,575,000","-5,792,000","-5,620,000","-5,892,000"
RepurchaseOfCapitalStock,"-747,000,000","-403,000,000","-204,000,000","-95,000,000","-45,000,000","-62,000,000","-101,000,000","0","-1,000,000","-345,000,000","-270,000,000","-298,000,000","-236,000,000","-145,000,000","-604,000,000","-133,000,000","-573,000,000","-95,000,000","-368,000,000","-558,000,000","-378,000,000","-1,316,000,000","-999,363,000","0",,,"-265,010,000","0",,,"-250,000,000","0",,,"-6,434,000","0","0","0","-443,000","-2,454,000","-1,252,000","-9,214,000"
FreeCashFlow,"1,915,000,000","331,000,000","508,000,000","682,000,000","394,000,000","718,000,000","574,000,000","417,000,000","330,000,000","22,000,000","446,000,000","181,000,000","236,000,000","-28,000,000","279,000,000","221,000,000","201,000,000","94,000,000","131,000,000","347,000,000","145,000,000","-22,000,000","361,129,000","239,512,000","9,444,000","85,915,000","184,616,000","258,178,000","35,270,000","-80,764,000","231,089,000","115,150,000","49,008,000","-46,143,000","201,053,000","162,863,000","-5,975,000","-52,917,000","137,991,000","72,971,000","59,908,000","-6,505,000"
