name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,12/31/2014
			GrossPPE,"3,451,183,000","3,365,131,000","3,405,866,000","3,394,688,000","3,359,112,000","4,315,794,000","3,154,470,000","4,338,752,000","4,342,410,000","4,330,290,000","4,315,896,000","4,248,053,000","4,176,358,000","4,053,809,000","3,865,622,000","3,706,271,000","3,541,159,000","3,409,149,000","3,330,984,000","3,285,584,000","3,215,046,000","3,167,910,000","2,849,486,000","2,822,900,000","2,799,510,000","2,783,234,000","2,770,706,000","2,727,574,000","2,714,451,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
				LandAndImprovements,"237,335,000","405,966,000","262,693,000","258,042,000","233,740,000","505,343,000","238,440,000","238,440,000","238,440,000","510,043,000","238,440,000","193,686,000","193,686,000","463,745,000","177,182,000","177,182,000","177,182,000","433,355,000","177,182,000","163,700,000","163,700,000","396,433,000","163,700,000","163,700,000","163,700,000","364,700,000","174,320,000","186,920,000","407,122,000"
				BuildingsAndImprovements,,"2,256,826,000",,,,"3,001,283,000",,,,"2,990,259,000",,,,"2,663,004,000",,,,"2,315,124,000",,,,"2,255,580,000",,,,"1,959,160,000",,,"1,925,919,000"
				MachineryFurnitureEquipment,,"633,210,000",,,,"800,257,000",,,,"801,868,000",,,,"686,863,000",,,,"534,286,000",,,,"476,916,000",,,,"433,962,000",,,"343,980,000"
				OtherProperties,"3,213,848,000",,"3,143,173,000","3,136,646,000","3,125,372,000",,"2,916,030,000","4,100,312,000","4,103,970,000",,"4,077,456,000","4,054,367,000","3,982,672,000",,"3,688,440,000","3,529,089,000","3,363,977,000",,"3,153,802,000","3,121,884,000","3,051,346,000",,"2,685,786,000","2,659,200,000","2,635,810,000",,"2,596,386,000","2,540,654,000",
				ConstructionInProgress,,"69,129,000",,,,"8,911,000",,,,"28,120,000",,,,"240,197,000",,,,"126,384,000",,,,"38,981,000",,,,"25,412,000",,,"37,430,000"
			AccumulatedDepreciation,"-1,190,300,000","-1,168,813,000","-1,147,196,000","-1,125,593,000","-1,092,133,000","-1,224,081,000",,"-1,131,427,000","-1,083,661,000","-1,030,088,000","-989,131,000","-939,475,000","-888,828,000","-847,718,000","-805,897,000","-767,071,000","-726,661,000","-689,856,000","-663,592,000","-641,125,000","-603,196,000","-566,081,000","-544,673,000","-517,742,000","-495,073,000","-478,874,000","-450,901,000","-422,779,000","-375,319,000"
		GoodwillAndOtherIntangibleAssets,"282,441,000","282,848,000","283,254,000","283,660,000","284,066,000","296,493,000","297,647,000","299,826,000","302,004,000","304,182,000","306,361,000","308,539,000","310,717,000","312,896,000","315,074,000","317,502,000","319,931,000","323,676,000","328,658,000","333,640,000","339,800,000","344,875,000","331,923,000","336,506,000","341,090,000","345,673,000","350,257,000","354,841,000","364,008,000"
			Goodwill,"195,676,000","195,676,000","195,676,000","195,676,000","195,676,000","195,676,000","195,676,000","195,676,000","195,676,000","195,676,000","195,676,000","195,676,000","195,676,000","195,676,000","195,676,000","195,676,000","195,676,000","195,676,000","195,676,000","195,676,000","195,676,000","195,676,000","195,676,000","195,676,000","195,676,000","195,676,000","195,676,000","195,676,000","195,676,000"
