name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006
			LongTermEquityInvestment,,,,,,,"7,015,000","7,372,000",,,"1,682,048","4,641,946","6,065,891","3,092,358",,"7,513,581","7,513,581","1,366,493","1,366,493","1,366,493","1,366,493","1,020,313","1,050,583","1,080,580","1,135,419","1,222,651","1,193,309","1,226,520","1,267,354","1,318,335","1,393,443","342,894",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			InvestmentinFinancialAssets,"2,210,000","2,340,000","7,282,000","9,102,000","5,244,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AvailableForSaleSecurities,"2,210,000","2,340,000","7,282,000","9,102,000","5,244,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		FinancialAssets,"1,000","5,000","18,000","98,000","1,399,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentNoteReceivables,"3,770,000","3,741,000","3,713,000","3,684,000","5,876,000","5,876,000","5,804,000","5,732,000","5,660,000","5,589,478",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","4,232","55,339","61,263","20,247","22,405","0","0","0",,,,,,,,,,,,,,,,,,
		NonCurrentPrepaidAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"92,894",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentAssets,,"3,741,000",,,,,,,,,,,"759,596",,,,,"0","0","1","0","0","0","0","0","0","0","0","0","0",,"0","92,894","-457,696","0","0","0","0","0","0","0",,"0","1,535","1,535","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0"
TotalLiabilitiesNetMinorityInterest,"8,508,000","9,880,000","7,441,000","9,796,000","7,191,000","7,584,000","7,363,000","7,273,000","6,155,000","6,900,543","6,554,256","8,234,132","7,609,892","6,021,761","6,921,210","6,063,601","5,135,851","4,313,206","3,657,344","4,228,553","3,483,343","3,307,998","3,398,644","3,729,376","3,955,692","6,642,012","6,799,490","6,710,448","6,398,996","6,733,778","6,563,523","2,110,815","1,771,240","4,763,856","20,844,241","10,371,537","10,704,898","8,776,088","4,997,107","4,694,380","5,190,630","3,600,783","5,617,513","5,482,666","5,197,747","226,954","179,054","141,972","125,684","107,978","88,802","88,494","59,201","51,542","40,920","6,023","11,610","16,563","1,225","32,802","30,563","37,649","34,133"
	CurrentLiabilities,"7,182,000","8,427,000","6,962,000","9,243,000","7,004,000","7,343,000","6,544,000","6,321,000","5,035,000","5,780,380","5,027,328","7,181,166","6,211,838","5,173,544","6,634,239","5,778,391","5,135,851","4,313,206","3,459,850","4,086,945","3,419,318","3,249,317","2,986,817","3,304,638","3,485,370","3,236,120","3,086,970","2,927,172","2,446,159","2,673,407","2,495,073","1,561,507","1,147,815","984,334","2,206,627","2,278,807","1,860,828","4,602,948","4,265,454","3,458,180","3,150,630","2,873,783","2,666,263","1,793,916","1,458,997","176,954","179,054","141,972","125,684","107,978","88,802","88,494","59,201","51,542","40,920","6,023","11,610","16,563","1,225","32,802","30,563","37,649","34,133"
