name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010
TotalOperatingIncomeAsReported,"-218,115,000","-50,359,000","-52,711,000","-57,464,000","-57,582,000","-58,011,000","-64,982,000","-72,547,000","-82,648,000","-82,012,000","-91,658,000","-106,429,000","-93,459,000","-85,199,000","-96,966,000","-89,162,000","-79,013,000","-68,672,000","-63,204,000","-60,527,000","-57,739,000","-56,161,000","-67,136,000","-64,000,000","-156,646,000","-84,951,000","-146,908,000","-97,252,000","-68,336,000","-64,225,000","-53,890,000","-41,120,000","-34,966,000","-28,483,000","-28,494,000","-20,375,000","-19,308,000","-15,590,000","-21,055,000","-18,220,000","-15,520,000","-18,987,000","-14,476,000","-13,280,000","-18,384,000","-8,446,000","-19,888,000","-6,813,000","-7,835,000","-4,089,000"
TotalExpenses,"357,590,000","84,606,000","88,680,000","92,108,000","92,198,000","96,064,000","108,281,000","111,319,000","122,535,000","124,576,000","130,965,000","134,592,000","126,437,000","118,317,000","127,317,000","111,919,000","102,770,000","87,195,000","80,244,000","77,333,000","72,359,000","63,206,000","66,714,000","63,500,000","77,281,000","84,435,000","84,233,000","84,469,000","67,572,000","63,501,000","55,754,000","40,232,000","33,705,000","29,471,000","28,089,000","20,375,000","19,308,000","15,340,000","21,055,000","18,220,000","15,270,000","14,987,000","14,476,000","13,280,000","11,384,000","8,446,000","9,888,000","6,813,000","5,835,000","4,089,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-258,416,000","-60,169,000","-64,391,000","-67,410,000","-66,448,000","-66,277,000","-98,958,000","-78,676,000","-92,247,000","-99,332,000","-99,501,000","-94,075,000","-120,427,000","-86,421,000","-99,259,000","-89,864,000","-101,190,000","-77,694,000","-51,883,000","-60,664,000","-175,386,000","-58,464,000","-70,728,000","-65,695,000","-129,314,000","-83,400,000","-119,541,000","-98,645,000","-71,531,000","-63,144,000","-54,907,000","-39,642,000","-34,764,000","-30,718,000","-29,203,000","-20,320,000","-19,341,000","-15,668,000","-21,059,000","-18,268,000","-15,657,000","-18,999,000","-14,908,000","-13,835,000","-18,499,000","-8,328,000","-19,433,000","-6,401,000","-7,905,000","-4,091,000"
NormalizedIncome,"-247,023,193.96","-59,192,946.624","-60,906,099.737","-64,110,400","-64,038,108.802","-65,732,101.685","-98,987,871.708","-79,308,855.211","-89,113,222.977","-98,455,599.96","-99,574,730","-101,109,827.376","-95,237,813.147","-86,229,354.812","-99,031,240","-89,974,230","-81,092,554.163","-69,664,869.179","-63,236,761.568","-60,620,877.185","-59,309,807.706","-58,305,225.409","-70,340,400","-65,130,949","-64,660,674.319","-82,383,937.155","-69,549,102.148","-85,842,504.054","-70,387,400","-64,657,800","-60,333,112.91","-39,064,800","-33,944,350","-22,503,950","-28,939,750","-20,320,000","-19,341,000","-15,418,000","-21,283,000","-18,220,000","-15,235,941.244","-16,396,400","-14,644,750","-13,280,000","-11,384,000","-8,404,700","-13,228,750","-6,564,150","-6,664,150","-4,089,700"
InterestExpense,"32,817,000","8,542,000","7,956,000","8,170,000","8,148,000","7,398,000","6,743,000","6,215,000","5,313,000","5,220,000","5,933,000","4,532,000","3,817,000","3,590,000","3,591,000","3,376,000","3,581,000","2,635,000","3,588,000","2,297,000","2,598,000","2,264,000","3,101,000","1,797,000","2,106,000","2,104,000","2,101,000","2,099,000","2,097,000","2,075,000",,,,,,,,,,,,,,,,,,,,
NetInterestIncome,"-35,166,000","-9,100,000","-8,510,000","-8,786,000","-8,770,000","-8,037,000","-7,348,000","-6,859,000","-6,739,000","-9,561,000","-6,721,000","-5,278,000","-3,817,000","-3,590,000","-3,591,000","-3,376,000","-3,581,000","-2,635,000","-2,632,000","-2,618,000","-2,598,000","-2,581,000","-2,173,000","-2,108,000","-2,106,000","-2,104,000","-2,101,000","-2,099,000","-2,097,000","-2,075,000",,,,,,,,,,,,,,,,,,,,
EBIT,"-225,989,000","-51,747,000","-56,714,000","-59,227,000","-58,303,000","-59,013,000","-92,640,000","-72,479,000","-86,970,000","-94,180,000","-91,084,000","-89,893,000","-116,786,000","-82,991,000","-94,780,000","-86,475,000","-97,642,000","-75,319,000","-49,274,000","-59,601,000","-174,069,000","-56,283,000","-66,194,000","-64,125,000","-156,267,000","-85,477,000","-146,008,000","-97,174,000","-69,416,000","-60,967,000","-65,336,000","-40,232,000","-33,705,000","-15,846,000","-28,089,000","-20,375,000","-19,308,000","-15,340,000","-21,055,000","-18,220,000","-15,270,000","-14,987,000","-14,476,000","-13,280,000","-11,384,000","-8,446,000","-9,888,000","-6,813,000","-5,835,000","-4,089,000"
EBITDA,"-217,811,000"
ReconciledCostOfRevenue,"38,628,000","9,413,000","9,730,000","9,849,000","9,637,000","9,611,000","10,817,000","9,781,000","10,400,000","10,308,000","9,153,000","9,346,000","7,662,000","8,525,000","6,961,000","5,537,000","5,199,000","4,378,000","3,702,000","3,398,000","3,102,000","1,535,000",,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0"
ReconciledDepreciation,"8,178,000","1,923,000","1,998,000","2,020,000","2,237,000","2,241,000","2,051,000","2,019,000","1,998,000","2,130,000","2,041,000","2,095,000","1,910,000","1,722,000","2,104,000","990,000","921,000","586,000","593,000","630,000","642,000","639,000","322,000","269,000","280,000","270,000","213,000","-401,000","482,000","467,000","448,000","215,000","80,000","3,477,000","65,000","62,000","61,000","62,000","84,000","93,000","92,000","84,000","52,000","47,000","44,000","42,000","28,000","24,000","19,000","12,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"-258,416,000","-60,169,000","-64,391,000","-67,410,000","-66,448,000","-66,277,000","-98,958,000","-78,676,000","-92,247,000","-99,332,000","-99,501,000","-94,075,000","-120,427,000","-86,421,000","-99,259,000","-89,864,000","-101,190,000","-77,694,000","-51,883,000","-60,664,000","-175,386,000","-58,464,000","-70,728,000","-65,695,000","-129,314,000","-83,400,000","-119,541,000","-98,645,000","-71,531,000","-63,144,000","-54,907,000","-39,642,000","-34,764,000","-30,718,000","-29,203,000","-20,320,000","-19,341,000","-15,668,000","-21,059,000","-18,268,000","-15,657,000","-18,999,000","-14,908,000","-13,835,000","-18,499,000","-8,328,000","-19,433,000","-6,401,000","-7,905,000","-4,091,000"
TotalUnusualItemsExcludingGoodwill,"-11,410,000","-978,000","-3,500,000","-4,520,000","-2,410,000","-546,000","30,000","633,000","-3,135,000","-877,000","101,000","7,061,000","-25,226,000","-192,000","-312,000","151,000","-20,104,000","-8,056,000","11,568,000","-44,000","-116,924,000","-159,000","-646,000","-566,000","-79,182,000","-1,067,000","-61,939,000","-12,884,000","-1,906,000","2,523,000","5,444,000","-888,000","-1,261,000","-12,637,000","-405,000","0","0","-250,000","224,000","-48,000","-422,000","-4,004,000","-405,000","-555,000","-7,115,000","118,000","-9,545,000","251,000","-1,909,000","-2,000"
TotalUnusualItems,"-11,410,000","-978,000","-3,500,000","-4,520,000","-2,410,000","-546,000","30,000","633,000","-3,135,000","-877,000","101,000","7,061,000","-25,226,000","-192,000","-312,000","151,000","-20,104,000","-8,056,000","11,568,000","-44,000","-116,924,000","-159,000","-646,000","-566,000","-79,182,000","-1,067,000","-61,939,000","-12,884,000","-1,906,000","2,523,000","5,444,000","-888,000","-1,261,000","-12,637,000","-405,000","0","0","-250,000","224,000","-48,000","-422,000","-4,004,000","-405,000","-555,000","-7,115,000","118,000","-9,545,000","251,000","-1,909,000","-2,000"
NormalizedEBITDA,"-206,401,000","-48,846,000","-51,216,000","-52,687,000","-53,656,000","-56,226,000","-90,619,000","-71,093,000","-81,837,000","-91,173,000","-89,144,000","-94,859,000","-89,650,000","-81,077,000","-92,364,000","-85,636,000","-76,617,000","-66,677,000","-60,249,000","-58,927,000","-56,503,000","-55,485,000","-65,226,000","-63,290,000","-76,805,000","-84,140,000","-83,856,000","-84,290,000","-67,028,000","-63,023,000","-70,332,000","-39,129,000","-32,364,000","268,000","-27,619,000","-20,313,000","-19,247,000","-15,028,000","-21,195,000","-18,079,000","-14,756,000","-10,899,000","-14,019,000","-12,678,000","-4,225,000","-8,522,000","-315,000","-7,040,000","-3,907,000","-4,075,000"
TaxRateForCalcs,"0.002","0.002","0.004","0.27","0","0.002","0.004","0","0","0.001","0.27","0.004","0.001","0.002","0.27","0.27","0","0.003","0.019","0.02","0.007","0.001","0.4","0.003","0.183","0.048","0.193","0.006","0.4","0.4","0.003","0.35","0.35","0.35","0.35","0","0","0","0","0","0.002","0.35","0.35","0","0","0.35","0.35","0.35","0.35","0.35"
TaxEffectOfUnusualItems,"-17,193.96","-1,946.624","-15,099.737","-1,220,400","-108.802","-1,101.685","128.292","144.789","-1,222.977","-599.96","27,270","26,172.624","-36,813.147","-354.812","-84,240","40,770","-6,554.163","-26,869.179","214,238.432","-877.185","-847,807.706","-225.409","-258,400","-1,949","-14,528,674.319","-50,937.155","-11,947,102.148","-81,504.054","-762,400","1,009,200","17,887.09","-310,800","-441,350","-4,422,950","-141,750","0","0","0","0","0","-941.244","-1,401,400","-141,750","0","0","41,300","-3,340,750","87,850","-668,150","-700"
