name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009
	ChangesInCash,"-107,602,000","-169,168,000","-11,433,000","14,857,000","58,142,000","-26,388,000","29,422,000","36,712,000","47,271,000","108,031,000","56,426,000","-13,580,000","-40,126,000","13,498,000","-101,265,000","51,786,000","-115,304,000","-1,549,000","98,110,000","36,137,000","14,549,000","-66,509,000","52,084,000","22,894,000","-37,231,000","-38,764,000","76,825,000","-7,626,000","2,273,000","-47,838,000","28,741,000","18,338,000","3,026,000","-107,314,000","109,595,000","-5,321,000","884,000","378,000","-17,586,000","36,460,000","5,342,000","-13,006,000","-32,269,000","47,852,000","-5,156,000","10,105,000","13,227,000","5,269,000","4,696,000","-297,000","-316,000","-7,233,000"
	BeginningCashPosition,"331,614,000","393,180,000","404,613,000","389,756,000","331,614,000","358,002,000","328,580,000","291,868,000","244,597,000","136,566,000","80,140,000","93,720,000","133,846,000","120,348,000","221,613,000","169,827,000","285,131,000","286,680,000","197,644,000","161,507,000","146,958,000","213,467,000","83,887,000","60,993,000","98,224,000","136,988,000","60,163,000","67,789,000","65,516,000","113,354,000","84,613,000","66,275,000","63,249,000","170,563,000","60,968,000","66,289,000","65,405,000","65,027,000","82,613,000","46,153,000","40,811,000","53,817,000","86,086,000","38,234,000","43,390,000","33,285,000","20,058,000","14,789,000","10,093,000","10,390,000","10,706,000","17,939,000"
IncomeTaxPaidSupplementalData,"44,717,000","1,290,000","4,699,000","12,005,000","26,723,000","0","8,271,000","19,958,000","1,358,000","121,000","6,243,000","8,800,000","24,493,000","372,000","8,560,000","5,869,000","30,494,000","805,000","6,817,000","10,959,000","15,116,000","12,632,000","11,371,000","6,635,000","5,111,000","11,315,000","7,794,000","10,454,000","7,470,000","9,114,000","6,348,000","5,726,000","4,124,000","2,283,000","234,000","412,000","41,000","194,000","6,073,000","911,000","4,031,000","3,314,000","1,089,000","6,180,000","2,494,000","2,282,000",,,,"0",,
InterestPaidSupplementalData,"41,363,000","13,037,000","13,041,000","8,198,000","7,087,000","9,621,000","12,828,000","8,879,000","13,030,000","11,207,000","12,479,000","15,082,000","18,218,000","17,785,000","21,115,000","13,977,000","10,838,000","10,500,000","21,981,000","11,773,000","10,774,000","11,739,000","10,719,000","10,584,000","6,128,000","11,880,000","8,041,000","7,766,000","9,254,000","7,793,000","7,240,000","5,646,000","5,929,000","5,135,000","3,496,000","3,080,000","3,475,000","4,762,000","7,626,000","1,677,000","1,439,000","1,180,000","1,793,000","1,144,000","925,000","800,000","841,000","1,674,000","2,094,000","555,000","1,193,000","1,004,000"
CapitalExpenditure,"-19,204,000","-11,790,000","-3,701,000","-1,707,000","-2,006,000","-1,794,000","-933,000","-511,000","-761,000","-778,000","-545,000","-774,000","-1,931,000","-1,461,000","-2,757,000","-814,000","-635,000","-516,000","-569,000","-2,589,000","-1,205,000","-844,000","-657,000","-1,044,000","-293,000","-484,000","-132,000","-341,000","-492,000","-448,000","-1,578,000","-253,000","-542,000","-152,000","-180,000","-2,239,000","-912,000","-1,188,000",,"-908,000","-1,838,000","-1,922,000","-2,072,000","-1,046,000","-375,000","-265,000","-133,000","-72,000","-274,000","-107,000",,"-364,000"
IssuanceOfCapitalStock,"-7,201,000","153,000","-4,000","-7,881,000","531,000","12,606,000","1,434,000","6,022,000","196,000","6,369,000","1,058,000","265,000","1,000","4,187,000","10,000","872,000","3,216,000","4,851,000","126,000","2,000","1,000","2,884,000","326,000","148,000","0","3,291,000","1,876,000","0","2,858,000","2,819,000","6,038,000","1,000","250,000","1,467,000","-50,000","650,000","420,000","119,000","375,000","150,697,000","0","1,000","1,000","0","0","2,053,000",,,,"0",,
IssuanceOfDebt,"839,762,000","0","376,527,000","403,782,000","59,453,000","25,313,000","-749,649,000","1,489,226,000","592,768,000","449,661,000","40,715,000","-45,119,000","10,379,000","173,790,000","-696,464,000","975,749,000","373,608,000","0","-1,349,289,000","1,360,970,000","26,283,000","102,377,000","177,350,000","49,615,000",,,"1,421,503,000","51,480,000","-139,515,000","227,840,000","394,081,000","216,621,000","336,354,000","75,903,000","185,937,000",,,,"-28,501,000","797,101,000",,,,,,,,,,,,
RepaymentOfDebt,"-832,517,000","-1,031,504,000","-999,173,000","620,434,000","577,726,000","-1,430,983,000","-58,843,000","-25,646,000","-35,854,000","-50,594,000","-397,208,000","-7,013,000","-33,014,000","-750,000","-165,396,000","-276,000","73,974,000","-135,575,000","-1,017,294,000","313,671,000","196,635,000","-687,068,000","372,717,000","-947,364,000","1,597,907,000","-2,029,947,000","-108,628,000","176,194,000","-197,489,000","-438,000","-69,248,000","-67,988,000","-44,414,000","-22,091,000","-142,011,000","-150,308,000","7,600,000","-610,393,000",,"60,931,000","-900,000","-900,000","-899,000","-901,000",,,"-1,347,000","7,270,000",,,"31,843,000","-2,908,000"
RepurchaseOfCapitalStock,"-32,547,000","-27,049,000","-3,186,000","-1,496,000","-816,000","-13,374,000","-3,249,000","-15,383,000","-405,000","-26,737,000","-826,000","-3,935,000","-1,756,000","-24,159,000","-42,120,000","-5,255,000","-57,000","-21,400,000","-6,036,000","-11,273,000","-49,000","-17,541,000","-519,000","-395,000","-3,634,000","-8,345,000","-199,000","-381,000","-1,877,000","-47,804,000","-61,000","-236,000","-1,399,000","-35,897,000","-707,000","-794,000","-1,232,000","-292,000","-574,000","-43,000","0","-124,000",,,,,,,,,,
FreeCashFlow,"507,487,000","960,138,000","1,063,733,000","-958,028,000","-558,356,000","1,313,898,000","884,565,000","-1,474,736,000","-530,778,000","-293,404,000","520,044,000","65,402,000","-25,773,000","-136,823,000","1,158,777,000","-844,122,000","-431,822,000","176,521,000","2,395,505,000","-1,751,125,000","-225,203,000","643,258,000","-507,203,000","943,373,000","-1,635,029,000","1,955,747,000","-1,348,989,000","-205,011,000","434,056,000","-221,107,000","-259,170,000","-117,173,000","-280,608,000","-75,070,000","85,677,000","104,641,000","31,288,000","610,783,000","63,162,000","-763,006,000","-120,639,000","-23,299,000","-157,598,000","370,601,000","-340,829,000","182,129,000","-169,656,000","-18,042,000","-36,485,000","52,306,000","-29,353,000","710,000"
