name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007
			NonCurrentDeferredTaxesAssets,,,,,,,,,,,,,,"0","25,541,000","17,671,000","10,144,000","9,530,000","9,114,000","7,019,000","7,077,000","4,940,000","14,838,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentPrepaidAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","319,545","70,000",,,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentAssets,"172,000","186,000","270,000","313,000","344,000","375,000","420,000","2,227,000","473,000","443,000","507,000","1,206,000","1,535,000","1,787,000","2,867,000","3,391,000","0","0","0","0","0","0","0","26,000","26,000","26,000","0",,"0","0","0","0","0","319,545","70,000","180,428","204,803","209,595","214,342","167,257","119,082","119,083","102,500","102,500","0","111,180","149,202","149,202","149,202","149,302","149,302","150,114",,,,
TotalLiabilitiesNetMinorityInterest,"89,383,000","95,353,000","93,837,000","101,790,000","106,834,000","110,614,000","109,346,000","128,052,000","128,570,000","132,768,000","139,692,000","145,626,000","69,090,000","73,189,000","47,458,000","36,235,000","52,595,000","59,455,000","60,263,000","58,388,000","55,450,000","62,977,000","27,925,000","25,405,000","20,597,000","19,704,000","19,930,000","16,061,156","11,535,954","11,110,382","11,125,823","9,757,863","7,391,545","6,258,999","15,175,306","14,352,735","11,803,377","14,363,512","15,199,627","11,699,467","11,356,879","11,035,847","1,251,717","1,143,645","1,261,289","928,050","4,826,707","7,709,322","5,460,587","4,426,939","3,534,162","841,898","35,782","28,968","36,548","18,174"
	CurrentLiabilities,"36,591,000","42,357,000","41,746,000","50,571,000","55,411,000","59,162,000","57,297,000","63,663,000","63,699,000","67,322,000","73,367,000","78,103,000","64,347,000","71,547,000","45,810,000","35,159,000","51,511,000","49,600,000","50,732,000","41,578,000","38,538,000","28,842,000","26,777,000","24,352,000","19,461,000","18,460,000","18,404,000","14,449,229","9,912,783","9,593,918","9,607,867","8,331,394","6,140,679","5,970,561","5,070,772","10,548,110","8,239,835","6,796,440","7,917,267","6,827,561","5,564,192","2,698,032","1,251,717","1,143,645","1,261,289","928,050","1,911,462","1,106,925","1,699,337","1,190,689","1,532,054","841,898","25,782","18,968","26,548","8,174"
		PayablesAndAccruedExpenses,"17,932,000","17,197,000","20,573,000","27,636,000","37,601,000","39,225,000","37,412,000","37,714,000","40,417,000","40,871,000","46,858,000","53,609,000","46,428,000","46,706,000","24,222,000","19,709,000","18,668,000","28,671,000","28,145,000","17,826,000","16,666,000","18,196,000","11,277,000","11,341,000","9,339,000","8,994,000","6,165,000","4,749,406","3,583,135","3,987,801","3,896,505","3,615,937","2,913,627","2,284,192","4,995,618","9,295,630","6,127,629","5,010,988","5,485,861","5,727,402","1,618,907","1,686,272","848,285","1,143,645","1,261,289","928,050","932,741","1,106,925","1,699,337","1,190,689","1,532,054","841,898","8,282","2,968","11,548","8,174"
			Payables,"8,120,000","7,385,000","6,881,000","10,563,000","6,925,000","8,765,000","9,049,000","11,946,000","9,756,000","8,710,000","9,420,000","10,792,000","10,691,000","14,864,000","8,454,000","11,096,000","10,682,000","18,731,000","17,204,000","11,162,000","9,678,000","13,059,000","6,633,000","7,244,000","5,614,000","5,379,000","3,661,000","2,759,409","2,445,627","2,618,753","2,490,531","2,205,778","1,837,711","1,056,707","1,251,684","9,295,630","6,127,629","5,010,988","5,485,861","5,727,402",,,,,,,,,,,"1,532,054","841,898","5,641","1,000","10,220","7,320"
				AccountsPayable,"8,120,000","7,385,000","6,881,000","10,563,000","6,925,000","8,765,000","9,049,000","11,946,000","9,756,000","8,710,000","9,420,000","10,792,000","10,691,000","14,864,000","8,454,000","8,767,000","11,504,000","10,892,000","11,436,000","11,162,000","9,678,000","13,059,000","6,633,000","7,244,000","5,614,000","5,379,000","3,661,000","2,759,409","2,445,627","2,618,753","2,490,531","2,205,778","1,837,711","1,056,707","1,251,684",,,,,,,,,,,,,,,,"1,532,054","841,898","5,641","1,000","10,220","7,320"
				TotalTaxPayable,,,,,,,,,,,,,,,,"2,329,000","-822,000","7,839,000","5,768,000",,,,"-67,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
					IncomeTaxPayable,,,,,,,,,,,,,,,,"2,329,000","-822,000","7,839,000","5,768,000",,,,"-67,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
