name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,03/31/2014
				MachineryFurnitureEquipment,"19,626,000","20,202,000","20,434,000","20,339,000","20,028,000","19,913,000","19,337,000","18,380,000","18,051,000","17,604,000","17,168,000","15,953,000","125,025,000","111,527,000","102,291,000","93,205,000","86,632,000","82,993,000","79,587,000","72,865,000","67,322,000","62,015,000","55,734,000","51,115,000","48,599,000","45,401,000","42,415,000","36,609,000","31,638,000","28,267,000","24,165,000","16,456,000"
				OtherProperties,"118,191,000","75,267,000","82,166,000","83,148,000","87,479,000","101,693,000","106,120,000","106,107,000","102,316,000","102,995,000","92,326,000","78,748,000",,,,,,,,,,,,,,,,,,,,
				ConstructionInProgress,"79,808,000","76,485,000","74,177,000","69,740,000","66,451,000","60,884,000","57,437,000","54,102,000","50,440,000","47,815,000","46,451,000","44,730,000",,,,,,,,,,,,,,,,,,,,
				Leases,"49,756,000","49,717,000","49,783,000","49,700,000","49,751,000","46,763,000","45,297,000","40,612,000","39,081,000","37,839,000","38,050,000","45,128,000","40,541,000","37,341,000","32,164,000","28,059,000","34,316,000","31,943,000","31,140,000","30,827,000","30,586,000","30,528,000","30,169,000","23,725,000","22,217,000","21,854,000","21,448,000","21,246,000","20,513,000","19,674,000","16,258,000","12,355,000"
			AccumulatedDepreciation,"-148,548,000","-148,239,000","-147,567,000","-138,282,000","-132,401,000","-136,242,000","-129,473,000","-118,550,000","-109,594,000","-101,213,000","-93,253,000","-92,223,000","-84,824,000","-77,792,000","-71,717,000","-66,332,000","-67,049,000","-62,364,000","-57,199,000","-52,556,000","-47,180,000","-43,214,000","-38,693,000","-34,638,000","-30,669,000","-26,857,000","-23,242,000","-19,798,000","-16,754,000","-14,159,000","-11,886,000","-8,628,000"
		GoodwillAndOtherIntangibleAssets,"179,313,000","181,605,000","183,610,000","185,287,000","157,239,000","158,915,000","56,251,000","57,527,000","58,803,000","59,171,000","54,487,000","54,927,000","55,367,000","18,728,000","12,746,000","12,943,000","13,140,000","13,336,000","13,533,000","13,930,000","14,327,000","14,724,000","14,989,000","15,244,000","15,489,000","15,747,000","3,855,000","4,099,000","4,353,000","4,606,000",,
			Goodwill,"163,677,000","163,677,000","163,677,000","163,677,000","144,253,000","144,253,000","45,112,000","45,112,000","45,112,000","45,112,000","41,512,000","41,512,000","41,512,000","15,334,000","11,828,000","11,828,000","11,828,000","11,828,000","11,828,000","11,828,000","11,828,000","11,828,000","11,828,000","11,828,000","11,828,000","11,828,000","2,053,000","2,053,000","2,053,000","2,053,000",,
			OtherIntangibleAssets,"15,636,000","17,928,000","19,933,000","21,610,000","12,986,000","14,662,000","11,139,000","12,415,000","13,691,000","14,059,000","12,975,000","13,415,000","13,855,000","3,394,000","918,000","1,115,000","1,312,000","1,508,000","1,705,000","2,102,000","2,499,000","2,896,000","3,161,000","3,416,000","3,661,000","3,919,000","1,802,000","2,046,000","2,300,000","2,553,000",,
		NonCurrentDeferredAssets,"10,463,000","14,789,000","19,846,000","25,707,000","32,579,000","30,295,000","28,016,000","27,894,000","28,141,000","25,315,000","26,349,000","27,018,000","26,218,000","24,487,000","22,731,000","20,775,000",,,,,,,,,,,,,,,,
		OtherNonCurrentAssets,"10,691,000","11,113,000","10,786,000","11,618,000","11,812,000","12,447,000","13,039,000","13,392,000","12,966,000","12,909,000","12,238,000","14,150,000","13,568,000","12,790,000","12,728,000","13,267,000","13,288,000","13,942,000","13,555,000","10,894,000","10,607,000","10,088,000","9,323,000","8,887,000","8,857,000","9,606,000","9,661,000","6,183,000","6,089,000","6,262,000","7,837,000","7,549,000"
TotalLiabilitiesNetMinorityInterest,"1,083,276,000","981,566,000","932,169,000","970,205,000","981,255,000","900,936,000","855,186,000","857,970,000","866,126,000","782,400,000","776,397,000","791,090,000","737,864,000","664,746,000","638,282,000","614,142,000","228,222,000","172,943,000","161,828,000","162,794,000","165,425,000","129,867,000","116,152,000","112,463,000","101,211,000","84,484,000","69,100,000","60,151,000","49,841,000","40,688,000","28,739,000","119,873,000"
	CurrentLiabilities,"515,523,000","404,672,000","363,386,000","399,901,000","462,021,000","384,638,000","343,914,000","352,898,000","376,582,000","299,326,000","297,320,000","312,557,000","315,358,000","245,744,000","222,528,000","212,971,000","218,651,000","163,622,000","152,844,000","153,309,000","155,333,000","119,657,000","105,802,000","103,938,000","93,203,000","75,409,000","60,273,000","54,420,000","44,065,000","35,641,000","24,833,000","19,450,000"
		PayablesAndAccruedExpenses,"37,886,000","25,874,000","37,888,000","27,631,000","29,263,000","22,034,000","26,132,000","7,925,000","20,120,000","15,582,000","19,502,000","14,513,000","18,359,000","11,237,000","10,618,000","4,304,000","8,398,000","3,737,000","4,830,000","5,235,000","11,206,000","7,205,000","10,120,000","7,265,000","7,717,000","6,630,000","5,584,000","5,175,000","6,679,000","3,814,000","4,595,000","5,276,000"
			Payables,"33,741,000","25,874,000","37,888,000","27,631,000","25,213,000","22,034,000","26,132,000","7,925,000","15,505,000","15,582,000","19,502,000","14,513,000","13,312,000","11,237,000","10,618,000","4,304,000","4,259,000","3,737,000","4,830,000","5,235,000","7,497,000","7,205,000","10,120,000","7,265,000","5,237,000","6,630,000","5,584,000","5,175,000","5,314,000","3,814,000","3,509,000","4,109,000"
				AccountsPayable,"32,545,000","25,874,000","37,888,000","27,631,000","24,171,000","22,034,000","26,132,000","7,925,000","12,565,000","15,582,000","19,502,000","14,513,000","10,249,000","11,237,000","10,618,000","4,304,000","2,985,000","3,737,000","4,830,000","5,235,000","6,522,000","7,205,000","10,120,000","7,265,000","4,450,000","6,630,000","5,584,000","5,175,000","4,969,000","3,814,000","3,509,000","4,109,000"
				TotalTaxPayable,"1,196,000",,,,"1,042,000",,,,"2,940,000",,,,"3,063,000",,,,"1,274,000",,,,"975,000",,,,"787,000",,,,"345,000",,,
			CurrentAccruedExpenses,"4,145,000",,,,"4,050,000",,,,"4,615,000",,,,"5,047,000",,,,"4,139,000",,,,"3,709,000",,,,"2,480,000",,,,"1,365,000",,"1,086,000","1,167,000"
		PensionandOtherPostRetirementBenefitPlansCurrent,"37,023,000","37,061,000","31,879,000","32,319,000","37,196,000","39,416,000","24,255,000","31,105,000","29,054,000","25,550,000","22,805,000","23,831,000","23,537,000","23,222,000","20,323,000","17,816,000","17,414,000","18,092,000","17,131,000","16,148,000","15,935,000","15,352,000","11,234,000","10,829,000","11,631,000","8,893,000","7,483,000","6,889,000","6,288,000","5,180,000","3,634,000","2,822,000"
		CurrentDebtAndCapitalLeaseObligation,"11,103,000","9,594,000","8,928,000","7,714,000","7,886,000","5,600,000","5,858,000","4,693,000","8,682,000","8,789,000","7,780,000","7,361,000",,,,,,,,,,,,,,,,,,,,
			CurrentCapitalLeaseObligation,"11,103,000","9,594,000","8,928,000","7,714,000","7,886,000","5,600,000","5,858,000","4,693,000","8,682,000","8,789,000","7,780,000","7,361,000",,,,,,,,,,,,,,,,,,,,
