name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005
InterestIncome,"59,649,000","16,015,000","13,344,000","14,298,000","15,992,000","12,651,000","12,148,000","11,840,000","10,525,000","11,410,000","12,126,000","14,143,000","11,875,000","11,963,000","12,460,000","11,895,000","13,314,000","13,252,000","13,588,000","11,213,000","10,746,000","11,082,000","11,707,000","11,730,000","11,628,000","11,660,000","11,407,000","11,945,000","11,385,000","9,979,000","9,732,000","8,570,000","8,404,000","7,979,000","7,593,000","7,706,000","7,182,000","6,345,000","6,482,000","484,000","92,000","19,038,000","185,000","233,000","132,000","15,164,000","135,000","149,000","274,000","18,177,000","385,000","552,000","702,000","21,191,000","1,823,000","1,084,000","1,102,000",,,"2,023,075",,,,,,,,,
InterestExpense,"13,078,000","3,778,000","3,918,000","3,082,000","2,300,000","1,376,000","1,092,000","1,055,000","917,000","728,000","964,000","1,207,000","1,059,000","1,120,000","1,759,000","1,526,000","1,742,000","1,516,000","1,035,000","754,000","729,000","791,000","825,000","953,000","971,000","1,035,000","974,000","1,081,000","1,064,000","1,039,000","1,042,000","720,000","738,000","606,000","395,000","597,000","477,000","262,000","289,000","484,000","92,000","218,000","185,000","233,000","132,000","143,000","135,000","149,000","274,000","348,000","385,000","552,000","702,000","1,340,000","1,823,000","1,084,000","1,102,000",,,"2,023,075",,,,,,,,,
NetInterestIncome,"46,571,000","12,237,000","9,426,000","11,216,000","13,692,000","11,275,000","11,056,000","10,785,000","9,608,000","10,682,000","11,162,000","12,936,000","10,816,000","10,843,000","10,701,000","10,369,000","11,572,000","11,736,000","12,553,000","10,459,000","10,017,000","10,291,000","10,882,000","10,777,000","10,657,000","10,625,000","10,433,000","10,864,000","10,321,000","8,940,000","8,690,000","7,850,000","7,666,000","7,373,000","7,198,000","7,109,000","6,705,000","6,083,000","6,193,000","-484,000","-92,000","19,370,000","-185,000","-233,000","-132,000","3,651,000","-135,000","-149,000","4,233,000","4,502,000","4,566,000","4,380,000","4,382,000","4,686,000","5,083,000","5,156,000","4,926,000",,,"-2,023,075",,,,,,,,,
ReconciledCostOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,"0",,,,,,,,,
ReconciledDepreciation,,,,,,,,,,,,"-131,000","295,000","0","0","407,000","93,000","242,000","258,000","0","0","0","0","0","75,000","0","0","0","0","-1,000","0","0","451,000","-453,000","366,000","-409,000","854,000","252,000","-10,207,000","4,602,000","6,168,000",,,"-9,929,000","5,013,000","-24,061,000",,,"15,800,000","-17,804,000","6,215,000","20,267,000","-22,981,000","6,168,000","7,535,000","339,000","5,826,000","11,207,014","-1,550,727","1,936,419","209,840",,,,,,,,
NetIncomeFromContinuingOperationNetMinorityInterest,"102,316,000","16,696,000","10,346,000","28,135,000","47,139,000","20,514,000","15,271,000","6,630,000","39,000","-37,602,000","13,318,000","11,004,000","6,046,000","2,408,000","16,491,000","30,364,000","32,327,000","21,846,000","17,144,000","13,556,000","8,141,000","9,376,000","10,955,000","-102,000","24,534,000","22,618,000","-6,213,000","-110,000","8,559,000","29,158,000","7,589,000","2,697,000","10,770,000","937,000","-10,686,000","14,939,000","-6,519,000","15,949,000","4,699,000","-353,000","-3,017,000","-411,000","5,495,000","12,695,000","4,187,000","2,796,000","15,135,000","-6,859,000","5,368,000","20,628,000","-4,420,000","-18,090,000","-9,190,000","-3,982,000","-3,940,000","956,000","-4,484,000","-9,953,471","5,108,919","-4,367,075","8,270,466","458,769","2,684,543","2,848,044","1,277,048","2,943,018","1,614,747","1,476,732","19,800"
TotalUnusualItemsExcludingGoodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-3,804,000","-6,168,000","5,091,000",,"9,386,000","-5,052,000","863,000",,"-9,300,000","1,161,000","17,919,000","-7,493,000","-20,461,000","-11,635,000","-6,949,000","-7,527,000","-2,827,000","-7,535,000","-14,033,539","6,244","-7,361,613","6,127","-2,478","1,492","670","316","185","0","0","0"
TotalUnusualItems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-3,804,000","-6,168,000","5,091,000",,"9,386,000","-5,052,000","863,000",,"-9,300,000","1,161,000","17,919,000","-7,493,000","-20,461,000","-11,635,000","-6,949,000","-7,527,000","-2,827,000","-7,535,000","-14,033,539","6,244","-7,361,613","6,127","-2,478","1,492","670","316","185","0","0","0"
TaxRateForCalcs,"0.4","0.4","0.27","0.27","0.27","0.27","0.27","0.27","0.27","0","0.27","0.27","0.27","0.27","0.27","0.27","0.27","0.27","0.4","0.4","0.4","0.4","0.4","0","0.4","0.4","0","0","0.4","0.4","0.35","0.35","0.35","0.35","0","0.35","0","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.4","0.4","0.4","0.4","0.4","0.4","0.4"
TaxEffectOfUnusualItems,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1,331,400","-2,158,800","0","0","3,285,100","-1,768,200","0","0","-3,255,000","406,350","0","-2,622,550","-7,161,350","-4,072,250","0","-2,634,450","-989,450","-2,637,250","0","2,185.4","-2,576,564.55","2,144.45","-867.3","596.8","268","126.4","74","0","0","0"
