name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,09/30/2013,06/30/2013,03/31/2013
		NetOtherInvestingChanges,"-10,100,000","-5,000,000","-100,000","-5,100,000","100,000","19,000,000","-1,400,000","3,300,000","200,000","-5,900,000","200,000","-1,200,000","-600,000","8,500,000","500,000","-31,900,000","30,000,000","5,000,000","10,700,000","-15,200,000","-7,600,000","2,400,000","12,800,000","5,000,000","-400,000","-700,000","-99,100,000","-1,800,000","0","600,100,000","-287,410,000",,"1,114,000","-1,114,000","-595,000","2,347,000","-1,290,000"
	CashFromDiscontinuedInvestingActivities,,,,,,,"0","0","0","0","149,100,000","-149,100,000","0","-5,000,000","-18,700,000",,,,,,,,,,,,,,,,,,,,,,
FinancingCashFlow,"237,100,000","-67,100,000","-46,200,000","373,500,000","-23,100,000","-14,200,000","-35,800,000","-49,500,000","-321,700,000","283,400,000","-13,900,000","-102,800,000","-81,700,000","-4,235,700,000","-18,800,000","-42,000,000","29,000,000","74,200,000","1,900,000","-116,600,000","-32,700,000","80,000,000","-439,600,000","289,900,000","-73,200,000","120,700,000","1,520,200,000","-2,900,000","285,000,000","2,198,900,000","1,705,340,000","-6,406,000","299,707,000","170,259,000",,,"-20,024,000"
	CashFlowFromContinuingFinancingActivities,"237,100,000","-67,100,000","-46,200,000","373,500,000","-23,100,000","-14,200,000","-35,800,000","-49,500,000","-321,700,000","283,400,000","-13,900,000","-102,800,000","-81,700,000","-4,240,500,000","-600,000","-104,000,000","29,000,000","74,200,000","1,900,000","-116,600,000","-32,700,000","80,000,000","-439,600,000","289,900,000","-73,200,000","120,700,000","1,520,200,000","-2,900,000","285,000,000","2,198,900,000","1,705,340,000","-6,406,000","299,707,000","170,259,000",,,"-20,024,000"
		NetIssuancePaymentsOfDebt,"386,800,000","-3,100,000","-3,300,000","395,000,000","-1,800,000","-1,900,000","-2,000,000","-2,000,000","-321,900,000","318,000,000","-2,100,000","-52,000,000","-72,200,000","-3,756,600,000","2,900,000","-106,300,000","31,600,000","74,300,000","20,300,000","-109,300,000","-29,200,000","80,000,000","21,900,000","-92,900,000","-39,200,000","125,000,000","1,550,900,000","-4,700,000","-158,800,000","2,238,300,000","675,496,000","-2,001,000","-1,782,000","-2,013,000","-1,334,000","399,121,000","-19,868,000"
			NetLongTermDebtIssuance,"386,800,000","-3,100,000","-3,300,000","395,000,000","-1,800,000","-1,900,000","-2,000,000","-2,000,000","-1,900,000","-2,000,000","-2,100,000","-2,000,000","-2,000,000","-3,851,900,000","-22,100,000","0","-200,000","-200,000","48,800,000","-9,100,000","-10,100,000","-9,000,000","-13,200,000","-8,600,000","-9,900,000","-7,500,000","1,568,000,000","-2,300,000","-8,000,000","2,080,400,000","675,496,000","-2,001,000","-1,782,000","-2,013,000","-1,334,000","399,121,000","-19,868,000"
				LongTermDebtIssuance,,,"0",,,,"0","800,000,000","0","0","744,300,000","0","0","749,100,000","0","-106,300,000","31,800,000","74,500,000","2,215,400,000","-300,000","1,908,500,000","89,000,000","3,300,900,000","1,000,000",,"1,200,000","1,836,200,000","2,900,000","-1,300,000","2,084,000,000","678,800,000","0",,,"0","0",
				LongTermDebtPayments,"-11,200,000","-3,100,000","-3,300,000","-3,000,000","-1,800,000","-1,900,000","-2,000,000","-802,000,000","-1,900,000","-2,000,000","-746,400,000","-2,000,000","-2,000,000","-4,601,000,000","-22,100,000","0","-200,000","-200,000","-2,166,600,000","-8,800,000","-1,937,700,000","-9,000,000","-3,314,100,000","-8,600,000","-8,700,000","-8,700,000","-268,200,000","-5,200,000","-6,700,000","-3,600,000","-3,304,000","-2,001,000","-1,782,000","-2,013,000","-1,334,000","-710,392,000","-19,868,000"
			NetShortTermDebtIssuance,,,,,,"0","0","0","-320,000,000","320,000,000","0","-50,000,000","-70,200,000","95,300,000","25,000,000","-106,300,000","31,800,000","74,500,000","-28,500,000","-100,200,000","-19,100,000","89,000,000","35,100,000","-84,300,000","-29,300,000","132,500,000","-17,100,000","-2,400,000","-150,800,000","157,900,000",,,,,,,
				ShortTermDebtIssuance,,,,,,,,,,,,,,,,,,,,,,,,"-85,200,000","-28,400,000","132,500,000",,"-2,400,000","-150,800,000","157,900,000",,,,,,,
				ShortTermDebtPayments,,,,,,,,,,,,,,,,,,,,,,,,"-85,000,000","-30,000,000",,,,,,,,,,,,
		NetCommonStockIssuance,"-37,900,000","-18,300,000","-17,900,000",,"0","0","-20,000,000","-2,600,000","0","-33,100,000","-11,000,000","-51,000,000","-11,500,000","-433,600,000","1,400,000",,,,"500,000",,,,"0","391,100,000","200,000","200,000","0","100,000","468,400,000","1,000,000","1,039,216,000","-241,000","301,162,000","172,463,000",,"861,218,000","0"
			CommonStockIssuance,,,,,,,,,,,,,,,"1,400,000",,,,"500,000",,,,"0","391,100,000","200,000","200,000","0","100,000","468,400,000","1,000,000","1,039,216,000","-241,000","301,162,000","172,463,000","0","0","0"
			CommonStockPayments,"-37,900,000","-18,300,000","-17,900,000",,"0","0","-20,000,000","-2,600,000","0","-33,100,000","-11,000,000","-51,000,000","-11,500,000","-433,600,000",,,,,,,,,,,,,,,,,,,,,,,
		NetPreferredStockIssuance,,,,,,,,,,,,,,,,,,,"0",,,,"-460,000,000",,,,,,,,"0","0",,,"0","20,000,000",
			PreferredStockIssuance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,"0","20,000,000",
			PreferredStockPayments,,,,,,,,,,,,,,,,,,,"0",,,,"-460,000,000",,,,,,,,"0","0",,,"0","0",
		CashDividendsPaid,"-69,400,000","-19,900,000","-19,800,000","-14,900,000","-14,800,000","-12,400,000","-12,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CommonStockDividendPaid,,,,,,,"-12,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NetOtherFinancingCharges,"-42,400,000","-25,800,000","-5,200,000","-4,900,000","-6,500,000","100,000","-1,400,000","-44,900,000","200,000","-1,500,000","-800,000","200,000","2,000,000","-50,300,000","-4,900,000","2,300,000","-2,600,000","-100,000","-18,900,000","-8,200,000","-3,500,000","0","-1,500,000","-8,300,000","-34,200,000","-4,500,000","-30,700,000","1,700,000","-24,600,000","-40,400,000","-9,372,000","-4,164,000","327,000","-191,000","-1,149,000","-12,702,000","-156,000"
	CashFromDiscontinuedFinancingActivities,,,,,,,"0","0","0","0","0","0","0","4,800,000","-18,200,000",,,,,,,,,,,,,,,,,,,,,,
CashFlowFromDiscontinuedOperation,,,"-3,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EndCashPosition,"222,400,000","218,800,000","330,100,000","279,300,000","318,400,000","317,500,000","291,900,000","248,400,000","237,300,000","497,400,000","190,100,000","200,300,000","247,600,000","230,400,000","415,500,000","407,600,000","446,900,000","417,900,000","477,800,000","390,900,000","427,100,000","366,400,000","422,600,000","714,100,000","341,700,000","329,700,000","432,200,000","682,000,000","672,200,000","297,300,000","397,300,000","281,676,000","642,760,000","316,604,000","65,201,000","42,908,000","143,041,000"
	ChangesInCash,"-95,100,000","-109,800,000","53,300,000","-36,300,000","-2,300,000","28,900,000","37,400,000","7,900,000","-261,000,000","313,500,000","-13,300,000","-42,800,000","20,400,000","-194,500,000","11,400,000","-31,500,000","58,900,000","-80,100,000","81,200,000","-45,200,000","51,900,000","-65,800,000","-268,000,000","371,900,000","13,600,000","-109,600,000","-240,700,000","22,600,000","373,100,000","-89,400,000","122,192,000","-357,212,000","325,294,000","194,126,000","21,233,000","-99,459,000","471,000"
	EffectOfExchangeRateChanges,"-3,600,000","-1,500,000","-2,500,000","-2,800,000","3,200,000","-3,300,000","6,100,000","3,200,000","900,000","-6,200,000","3,100,000","-4,500,000","-3,200,000","9,400,000","-3,400,000","-7,800,000","-29,900,000","14,100,000","5,700,000","9,000,000","8,800,000","9,600,000","-23,500,000","500,000","-1,600,000","7,100,000","-9,100,000","-12,800,000","1,800,000","-10,600,000","-6,528,000","-3,872,000","862,000","-562,000","1,060,000","-674,000","-781,000"
	BeginningCashPosition,"317,500,000","330,100,000","279,300,000","318,400,000","317,500,000","291,900,000","248,400,000","237,300,000","497,400,000","190,100,000","200,300,000","247,600,000","230,400,000","415,500,000","407,600,000","446,900,000","417,900,000","483,900,000","390,900,000","427,100,000","366,400,000","422,600,000","714,100,000","341,700,000","329,700,000","432,200,000","682,000,000","672,200,000","297,300,000","397,300,000","281,676,000","642,760,000","316,604,000","123,040,000","42,908,000","143,041,000","143,351,000"
IncomeTaxPaidSupplementalData,,,"20,100,000",,,,"18,800,000",,,,"16,100,000",,,,"20,400,000",,,,"-37,200,000",,,,"35,000,000",,,,,,,,,,,,,,
InterestPaidSupplementalData,,,"5,400,000",,,,"4,100,000",,,,"27,600,000",,,,"60,600,000",,,,"-69,000,000",,,,"74,000,000",,,,,,,,,,,,,,
CapitalExpenditure,"-47,300,000","-9,500,000","-18,600,000","-10,400,000","-8,800,000","-8,500,000","-7,100,000","-6,700,000","-4,500,000","-10,500,000","-11,500,000","-6,800,000","-4,700,000","-6,700,000","-8,800,000",,"-14,300,000","-10,000,000","-18,000,000","-12,700,000","-13,800,000","-14,900,000","-23,500,000","-10,200,000","-11,000,000","-11,600,000","-15,800,000","-2,800,000","-8,500,000","-20,800,000","-11,709,000","-2,204,000","-2,562,000","-2,025,000","-3,185,000","-2,356,000","-1,331,000"
IssuanceOfCapitalStock,,,,,,,,,,,,,,,"1,400,000",,,,"500,000",,,,"0","391,100,000","200,000","200,000","0","100,000","468,400,000","1,000,000","1,039,216,000","-241,000","301,162,000","172,463,000","0","0","0"
IssuanceOfDebt,,,"0",,,,"0","800,000,000","0","0","744,300,000","0","0","749,100,000","0","-106,300,000","31,800,000","74,500,000","2,215,400,000","-300,000","1,908,500,000","89,000,000","3,282,000,000","-85,200,000","-29,600,000","133,700,000","1,831,500,000","500,000","-152,100,000","2,241,900,000","678,800,000","0",,,"0","0",
RepaymentOfDebt,"-11,200,000","-3,100,000","-3,300,000","-3,000,000","-1,800,000","-1,900,000","-2,000,000","-802,000,000","-1,900,000","-2,000,000","-746,400,000","-2,000,000","-2,000,000","-4,601,000,000","-22,100,000","0","-200,000","-200,000","-2,166,600,000","-8,800,000","-1,937,700,000","-9,000,000","-3,314,100,000","-7,700,000","-9,600,000","-8,700,000","-280,600,000","-5,200,000","-6,700,000","-3,600,000","-3,304,000","-2,001,000","-1,782,000","-2,013,000","-1,334,000","-710,392,000","-19,868,000"
RepurchaseOfCapitalStock,"-37,900,000","-18,300,000","-17,900,000",,"0","0","-20,000,000","-2,600,000","0","-33,100,000","-11,000,000","-51,000,000","-11,500,000","-433,600,000",,,,,"0",,,,"-460,000,000",,,,,,,,"0","0",,,"0","0",
FreeCashFlow,"240,500,000","-15,100,000","103,100,000","80,900,000","71,600,000","24,100,000","74,600,000","62,900,000","59,000,000","36,000,000","-89,400,000","210,300,000","13,200,000","-154,600,000","45,900,000","33,000,000","55,100,000","-171,100,000","80,600,000","84,000,000","93,400,000","-135,300,000","185,300,000","79,100,000","86,100,000","-222,000,000","174,000,000","28,000,000","161,800,000","-90,800,000","7,035,000","28,038,000","25,587,000","19,040,000",,,"21,785,000"
