name,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,04/30/2014
				AllowanceForDoubtfulAccountsReceivable,,"-2,300,000","-2,700,000","-2,600,000","-3,000,000","-2,700,000","-3,361,000","-5,000,000","-5,700,000","-3,221,000","-4,141,000","-3,721,000","-2,942,000","-2,728,000","-2,213,000","-2,324,000","-1,867,000","-1,856,000","-1,909,000","-2,640,000","-2,189,000","-3,346,000","-3,214,000","-3,146,000","-4,398,000","-3,678,000","-3,815,000","-3,791,000","-3,945,000","-3,858,000","-3,847,000","-3,376,000"
			OtherReceivables,,,,,,,,,,,"1,318,000",,,,,,,,,,,,,,"2,414,000",,"9,815,000","23,395,000","23,395,000",,"4,304,000","2,351,000"
		PrepaidAssets,"33,987,000","27,953,000","64,730,000","23,953,000","23,353,000","13,344,000","17,847,000","19,880,000","23,234,000","17,618,000","13,347,000","15,325,000","16,094,000","10,986,000","11,652,000","13,430,000","13,388,000","8,494,000","9,569,000","12,940,000","11,029,000","9,256,000","8,948,000","11,032,000","12,945,000","14,729,000","21,656,000","37,465,000","39,256,000","12,132,000","6,785,000","7,654,000"
		RestrictedCash,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,841,000","14,070,000",,,"0","0"
		CurrentDeferredAssets,"45,021,000","46,025,000",,"41,104,000","39,514,000","39,110,000","35,204,000","33,216,000","31,300,000","30,841,000","27,249,000","24,581,000","22,829,000","21,683,000","18,772,000","16,855,000","15,091,000","17,589,000","13,331,000","13,287,000","12,776,000","13,771,000","10,599,000","10,591,000","10,977,000","12,603,000","9,606,000","9,598,000","9,097,000","9,487,000","7,092,000","7,112,000"
		OtherCurrentAssets,"33,987,000",,,,"3,018,000","3,441,000","5,173,000","5,573,000","5,653,000","4,247,000","5,212,000","4,943,000","3,559,000","3,237,000","3,385,000","3,029,000","4,187,000","2,897,000","4,346,000","3,691,000","3,807,000","1,570,000","3,822,000","2,738,000",,,,,"15,861,000",,,
	TotalNonCurrentAssets,"456,167,000","475,445,000","477,458,000","496,753,000","520,534,000","472,396,000","492,273,000","506,927,000","521,686,000","502,265,000","488,827,000","463,075,000","458,148,000","221,607,000","207,260,000","193,605,000","187,672,000","154,377,000","170,798,000","170,626,000","169,805,000","171,573,000","166,208,000","159,290,000","166,842,000","177,494,000","169,457,000","136,652,000","111,031,000","86,437,000","90,617,000","79,771,000"
		NetPPE,"255,717,000","278,563,000","286,237,000","307,459,000","329,501,000","354,401,000","378,630,000","392,185,000","407,688,000","388,782,000","393,791,000","373,785,000","373,844,000","137,703,000","133,374,000","125,357,000","124,518,000","123,977,000","118,278,000","117,083,000","117,568,000","117,176,000","113,379,000","107,093,000","112,144,000","120,492,000","113,543,000","79,629,000","59,259,000","58,446,000","58,968,000","51,679,000"
			GrossPPE,"760,855,000","762,256,000","746,986,000","752,382,000","749,261,000","754,599,000","752,112,000","737,898,000","726,144,000","681,251,000","660,750,000","598,504,000","585,258,000","336,526,000","320,586,000","302,617,000","291,004,000","279,181,000","262,877,000","252,411,000","243,171,000","237,677,000","228,027,000","213,618,000","209,654,000","207,399,000","192,990,000","150,610,000","121,886,000","113,053,000","105,627,000","86,091,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
				MachineryFurnitureEquipment,"36,591,000","35,356,000","34,608,000","35,946,000","35,687,000","39,967,000","40,472,000","39,101,000","38,521,000","37,278,000","36,880,000","36,121,000","34,865,000","34,275,000","33,336,000","31,208,000","29,486,000","28,812,000","25,069,000","25,180,000","24,629,000","24,197,000","23,672,000","23,325,000","23,864,000","21,470,000","16,029,000","15,459,000","14,439,000","13,770,000","12,926,000","10,819,000"
				OtherProperties,"644,313,000","644,595,000","631,083,000","634,179,000","625,330,000","622,652,000","619,499,000","596,975,000","583,213,000","545,624,000","530,181,000","473,117,000","457,710,000","215,626,000","195,594,000","186,205,000","179,490,000","170,422,000","160,067,000","156,297,000","145,081,000","143,219,000","124,335,000","117,948,000","114,327,000","111,015,000","103,861,000","94,405,000","86,857,000","81,068,000","74,754,000","52,373,000"
				ConstructionInProgress,"755,000","6,324,000","4,391,000","3,811,000","9,955,000","11,422,000","11,605,000","21,545,000","24,056,000","18,370,000","13,779,000","9,468,000","12,830,000","9,737,000","14,867,000","9,897,000","9,052,000","7,348,000","13,234,000","6,477,000","9,039,000","5,882,000","15,905,000","8,415,000","7,799,000","4,808,000","57,993,000","26,799,000","6,691,000","4,815,000","5,923,000","13,413,000"
				Leases,"79,196,000","75,981,000","76,904,000","78,446,000","78,289,000","80,558,000","80,536,000","80,277,000","80,354,000","79,979,000","79,910,000","79,798,000","79,853,000","76,888,000","76,789,000","75,307,000","72,976,000","72,599,000","64,507,000","64,457,000","64,422,000","64,379,000","64,115,000","63,930,000","63,664,000","70,106,000","15,107,000","13,947,000","13,899,000","13,400,000","12,024,000","9,486,000"
			AccumulatedDepreciation,"-505,138,000","-483,693,000","-460,749,000","-444,923,000","-419,760,000","-400,198,000","-373,482,000","-345,713,000","-318,456,000","-292,469,000","-266,959,000","-224,719,000","-211,414,000","-198,823,000","-187,212,000","-177,260,000","-166,486,000","-155,204,000","-144,599,000","-135,328,000","-125,603,000","-120,501,000","-114,648,000","-106,525,000","-97,510,000","-86,907,000","-79,447,000","-70,981,000","-62,627,000","-54,607,000","-46,659,000","-34,412,000"
		GoodwillAndOtherIntangibleAssets,"89,271,000","111,584,000","95,410,000","93,043,000","119,675,000","43,560,000","44,717,000","45,952,000","45,364,000","43,855,000","31,944,000","18,740,000","18,740,000","18,740,000","18,740,000","18,740,000","16,303,000","16,317,000","16,356,000","16,394,000","16,433,000","16,836,000","17,268,000","15,821,000","16,737,000","18,196,000","19,666,000","21,137,000","17,203,000","17,585,000","17,496,000","13,952,000"
			Goodwill,"72,855,000","74,466,000","75,860,000","74,782,000","75,597,000","18,740,000","18,740,000","18,740,000","18,740,000","18,740,000","18,740,000","18,740,000","18,740,000","18,740,000","18,740,000","18,740,000","16,293,000","16,293,000","16,293,000","16,293,000","16,293,000","16,293,000","16,293,000","14,301,000","14,301,000","14,301,000","14,301,000","14,301,000","11,657,000","11,242,000","10,934,000","8,081,000"
			OtherIntangibleAssets,"16,416,000","37,118,000","19,550,000","18,261,000","44,078,000","24,820,000","25,977,000","27,212,000","26,624,000","25,115,000","13,204,000",,,,,,"10,000","24,000","63,000","101,000","140,000","543,000","975,000","1,520,000","2,436,000","3,895,000","5,365,000","6,836,000","5,546,000","6,343,000","6,562,000","5,871,000"
		NonCurrentDeferredAssets,"69,335,000","72,884,000",,"63,139,000","63,487,000","66,481,000","61,624,000","61,434,000","61,839,000","62,762,000","56,525,000","54,226,000","53,171,000","53,880,000","47,379,000","44,059,000","41,275,000","8,330,000",,,,,,,,,,,,,,
		NonCurrentPrepaidAssets,,,,,"2,481,000","2,707,000","2,712,000","2,830,000","2,772,000","2,726,000","2,741,000","2,655,000","2,593,000","2,674,000","2,593,000","2,686,000","2,723,000","2,934,000",,,,,,,,,,,,,,
