name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013
		GainsLossesNotAffectingRetainedEarnings,"-8,582,000","-15,911,000","-11,880,000","-7,612,000","-10,589,000","-9,784,000","-19,848,000","-21,515,000","-22,919,000","-6,804,000","-12,499,000","-6,643,000","-8,886,000","-8,514,000","-7,001,000","-4,220,000","9,958,000","5,326,000","-3,617,000",,,,,,,,,,,,,,,
TotalCapitalization,"1,580,614,000","1,670,971,000","1,622,234,000","1,659,519,000","1,190,917,000","1,210,663,000","1,216,297,000","942,500,000","900,857,000","957,870,000","978,914,000","1,106,500,000","694,595,000","705,009,000","692,129,000","693,447,000","385,833,000","387,832,000","369,512,000","191,051,000","195,744,000","195,237,000","192,685,000","193,215,000","196,623,000","195,789,000","194,916,000","80,619,000","85,381,000","88,011,000","88,927,000","93,818,000","485,000","6,023,000"
PreferredStockEquity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"98,134,000","98,047,000"
CommonStockEquity,"653,350,000","829,155,000","879,465,000","917,419,000","910,488,000","940,990,000","951,573,000","679,371,000","656,283,000","711,250,000","733,058,000","861,049,000","694,595,000","705,009,000","692,129,000","693,447,000","385,833,000","387,832,000","369,512,000","191,051,000","195,744,000","195,237,000","192,685,000","193,215,000","196,623,000","195,789,000","194,916,000","80,619,000","85,381,000","88,011,000","88,927,000","93,818,000","-97,649,000","-92,024,000"
CapitalLeaseObligations,"110,649,000","112,651,000","114,267,000","99,746,000","90,856,000","93,252,000","84,806,000","82,076,000","81,399,000","74,294,000","69,813,000","65,201,000","62,230,000","23,416,000","24,550,000","24,613,000","23,485,000","22,573,000","17,626,000","15,202,000","13,792,000",,,,,,,,,,,,,
NetTangibleAssets,"-775,643,000","-670,907,000","174,034,000","198,967,000","189,260,000","212,390,000","227,308,000","-47,528,000","-73,426,000","-40,175,000","-17,342,000","33,033,000","488,140,000","506,552,000","498,482,000","502,512,000","195,841,000","225,083,000","217,117,000","153,649,000","161,481,000","163,370,000","163,257,000","166,395,000","172,109,000","177,668,000","178,156,000","65,246,000","71,180,000","74,856,000","77,102,000","82,784,000","-9,195,000","-2,881,000"
WorkingCapital,"36,546,000","60,345,000","814,726,000","843,659,000","362,370,000","367,513,000","388,634,000","112,018,000","71,541,000","104,994,000","129,903,000","189,052,000","419,895,000","453,200,000","447,444,000","456,983,000","155,368,000","190,053,000","183,766,000","118,539,000","129,873,000","143,629,000","147,894,000","151,703,000","159,757,000","160,310,000","161,720,000","55,419,000","62,801,000","66,220,000","69,947,000","76,356,000","-16,933,000","-9,020,000"
InvestedCapital,"1,580,614,000","1,670,971,000","1,622,234,000","1,659,519,000","1,190,917,000","1,210,663,000","1,216,297,000","942,500,000","900,857,000","957,870,000","978,914,000","1,106,500,000","694,595,000","705,009,000","692,129,000","693,447,000","385,833,000","387,832,000","369,512,000","191,051,000","195,744,000","195,237,000","192,685,000","193,215,000","196,623,000","195,789,000","194,916,000","80,619,000","85,381,000","88,011,000","88,927,000","93,818,000","-97,649,000","-92,024,000"
TangibleBookValue,"-775,643,000","-670,907,000","174,034,000","198,967,000","189,260,000","212,390,000","227,308,000","-47,528,000","-73,426,000","-40,175,000","-17,342,000","33,033,000","488,140,000","506,552,000","498,482,000","502,512,000","195,841,000","225,083,000","217,117,000","153,649,000","161,481,000","163,370,000","163,257,000","166,395,000","172,109,000","177,668,000","178,156,000","65,246,000","71,180,000","74,856,000","77,102,000","82,784,000","-107,329,000","-100,928,000"
TotalDebt,"1,037,913,000","954,467,000","857,036,000","841,846,000","371,285,000","362,925,000","349,530,000","345,205,000","325,973,000","320,914,000","315,669,000","310,652,000","62,230,000","23,416,000","24,550,000","24,613,000","23,485,000","22,573,000","17,626,000","15,202,000","13,792,000",,,,,,,,,,,,,
NetDebt,"710,644,000","608,884,000",,,,,,"68,326,000","106,374,000","76,027,000","91,765,000","26,728,000",,,,,,,,,,,,,,,,,,,,,,
ShareIssued,"76,616,534","75,754,663","74,749,601","74,507,853","74,038,208","72,451,521","71,294,706","64,300,599","63,703,067","63,569,109","63,388,705","63,231,376","58,189,318","57,968,493","57,905,339","57,315,585","52,846,016","52,505,856","52,136,056","47,858,326","47,346,546","47,151,635","47,048,654","46,632,069","46,263,409","45,776,455","45,525,460","41,502,290","41,211,038","40,735,069","40,346,564","40,259,230","7,769,589","7,769,589"
OrdinarySharesNumber,"76,616,534","75,754,663","74,749,601","74,507,853","74,038,208","72,451,521","71,294,706","64,300,599","63,703,067","63,569,109","63,388,705","63,231,376","58,189,318","57,968,493","57,905,339","57,315,585","52,846,016","52,505,856","52,136,056","47,858,326","47,346,546","47,151,635","47,048,654","46,632,069","46,263,409","45,776,455","45,525,460","41,502,290","41,211,038","40,735,069","40,346,564","40,259,230","7,769,589","7,769,589"
