name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,03/31/2018
			DuefromRelatedPartiesCurrent,,,,,,,,,"0","3,642,000","1,345,000","574,000","373,000","489,000","301,000"
			OtherReceivables,"162,828,000","126,487,000","128,010,000","134,100,000","132,856,000","125,509,000","135,388,000","122,707,000","132,704,000",,,,,,
		PrepaidAssets,"103,023,000","149,234,000","149,176,000","147,835,000","86,307,000","127,442,000","125,996,000","129,309,000","73,354,000","1,544,000","2,315,000",,,,
		OtherCurrentAssets,"74,636,000",,,,"53,951,000",,,,"44,141,000",,,,,,
	TotalNonCurrentAssets,"8,619,588,000","8,694,718,000","8,787,533,000","8,896,330,000","8,993,788,000","9,059,556,000","9,154,361,000","9,205,950,000","8,706,199,000","2,194,437,000","2,120,671,000","1,302,342,000","1,293,260,000","1,293,878,000","1,357,875,000"
		NetPPE,"207,020,000","216,553,000","231,141,000","249,076,000","267,782,000","283,101,000","300,694,000","318,879,000","206,196,000",,,,,,
			GrossPPE,"322,927,000","216,553,000","231,141,000","249,076,000","327,223,000","283,101,000","300,694,000","318,879,000","209,156,000",,,,,,
				Properties,"0",,,,"0",,,,"0",,,,,,
				LandAndImprovements,"406,000",,,,"406,000",,,,"406,000",,,,,,
				BuildingsAndImprovements,"59,067,000",,,,"60,716,000",,,,"51,460,000",,,,,,
				MachineryFurnitureEquipment,"176,764,000",,,,"157,192,000",,,,"143,972,000",,,,,,
				OtherProperties,"65,680,000","216,553,000","231,141,000","249,076,000","93,412,000","283,101,000","300,694,000","318,879,000","206,196,000",,,,,,
				ConstructionInProgress,"21,010,000",,,,"15,497,000",,,,"13,318,000",,,,,,
			AccumulatedDepreciation,"-115,907,000",,,,"-59,441,000",,,,"-2,960,000",,,,,,
		GoodwillAndOtherIntangibleAssets,"8,177,124,000","7,936,065,000","8,052,987,000","8,176,661,000","8,295,865,000","8,408,007,000","8,544,560,000","8,621,127,000","8,161,131,000",,,,,,
			Goodwill,"4,112,904,000","4,114,682,000","4,110,823,000","4,112,222,000","4,108,792,000","4,105,413,000","4,126,481,000","4,112,880,000","3,795,325,000",,,,,,
			OtherIntangibleAssets,"4,064,220,000","3,821,383,000","3,942,164,000","4,064,439,000","4,187,073,000","4,302,594,000","4,418,079,000","4,508,247,000","4,365,806,000",,,,,,
		InvestmentsAndAdvances,,,,,"0","0","0","0","146,500,000","2,126,093,000","2,086,124,000","1,253,535,000","1,211,996,000","1,219,681,000","1,298,759,000"
			LongTermEquityInvestment,,,,,"0","0","0","0","146,500,000","2,126,093,000","2,086,124,000","1,253,535,000","1,211,996,000","1,219,681,000","1,298,759,000"
				InvestmentsInOtherVenturesUnderEquityMethod,,,,,"0","0","0","0","146,500,000",,,,,,
				InvestmentsinJointVenturesatCost,,,,,,,,,"0","2,126,093,000","2,086,124,000","1,253,535,000","1,211,996,000","1,219,681,000","1,298,759,000"
		NonCurrentAccountsReceivable,,,,,,,,,,"68,344,000","34,547,000","48,807,000","81,264,000","74,197,000","59,116,000"
		OtherNonCurrentAssets,"235,444,000","542,100,000","503,405,000","470,593,000","430,141,000","368,448,000","309,107,000","265,944,000","192,372,000",,,,,,
