name,05/31/2022,02/28/2022,11/30/2021,08/31/2021,05/31/2021,02/28/2021,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018,05/31/2018,02/28/2018,11/30/2017,08/31/2017,05/31/2017,02/28/2017,08/31/2016
		Inventory,"365,258,000","334,148,000","317,851,000","363,601,000","288,962,000","189,327,000","147,203,000","162,991,000","180,554,000","161,407,000","159,999,000","118,738,000","132,816,000","171,843,000","188,390,000","221,419,000","147,948,000","148,577,000","128,158,000","127,135,000","135,489,000","131,884,000","103,066,000"
			RawMaterials,,"168,956,000","157,849,000","163,610,000","134,180,000","89,177,000","86,330,000","89,943,000","101,518,000","92,633,000","85,100,000","67,629,000","76,913,000","90,435,000","91,095,000","105,017,000","72,839,000","65,445,000","49,997,000","42,255,000","52,537,000","59,015,000","46,746,000"
			WorkInProcess,,"67,990,000","66,805,000","92,901,000","47,697,000","31,985,000","18,907,000","16,672,000","14,986,000","14,352,000","19,132,000","10,546,000","12,234,000","17,842,000","26,214,000","35,977,000","27,406,000","23,795,000","23,621,000","22,965,000","19,545,000","19,059,000","10,932,000"
			FinishedGoods,,"97,202,000","93,197,000","107,090,000","107,085,000","68,165,000","41,966,000","56,376,000","64,050,000","54,422,000","55,767,000","40,563,000","43,669,000","63,566,000","71,081,000","80,425,000","47,703,000","59,337,000","54,540,000","61,915,000","63,407,000","53,810,000","45,388,000"
		PrepaidAssets,,,,,"39,674,000","34,613,000","27,291,000","18,538,000","14,077,000","15,859,000","16,860,000","19,672,000","15,163,000","12,728,000","20,119,000","15,173,000","14,633,000","14,060,000","7,868,000","6,975,000","9,108,000","7,756,000","9,240,000"
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,"0","2,189,000","0","812,000"
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,,"0","0","0","812,000"
		HedgingAssetsCurrent,,,,,,"2,277,000",,,"2,949,000","1,075,000",,,"585,000",,,,,,,,,,
		OtherCurrentAssets,"57,525,000","45,876,000","48,829,000","50,838,000",,"20,170,000","13,421,000","6,359,000",,,,,"952,000","952,000","952,000","952,000","970,000","970,000","970,000","970,000",,,
	TotalNonCurrentAssets,"386,486,000","376,796,000","379,861,000","393,980,000","382,812,000","241,980,000","226,202,000","229,898,000","225,194,000","258,530,000","250,405,000","231,877,000","149,869,000","154,994,000","148,907,000","150,713,000","118,289,000","123,036,000","129,224,000","133,039,000","127,303,000","133,774,000","139,397,000"
		NetPPE,"202,635,000","184,875,000","186,620,000","197,135,000","188,568,000","109,402,000","90,996,000","87,888,000","80,049,000","87,694,000","91,113,000","68,345,000","67,135,000","66,860,000","60,412,000","56,615,000","53,051,000","53,238,000","55,134,000","55,182,000","52,006,000","53,902,000","57,600,000"
			GrossPPE,"202,635,000","328,118,000","317,095,000","325,104,000","305,181,000","218,938,000","195,833,000","195,452,000","177,764,000","196,789,000","198,854,000","175,437,000","166,150,000","165,285,000","151,801,000","142,470,000","140,912,000","142,407,000","139,527,000","137,754,000","132,956,000","131,328,000","125,854,000"
				Properties,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
				LandAndImprovements,,"16,126,000","16,126,000","16,126,000","16,129,000",,,,,,,,,,,,,,,,,,
				BuildingsAndImprovements,,"55,306,000","53,035,000","53,502,000","51,045,000",,,,,,,,,,,,,,,,,,
				MachineryFurnitureEquipment,,"35,356,000","33,309,000","32,114,000","32,527,000","28,907,000","25,092,000","21,528,000","20,003,000","21,691,000","20,911,000","21,476,000","22,708,000","23,749,000","22,511,000","21,267,000","18,376,000","17,481,000","15,970,000","17,134,000","17,371,000","17,010,000","15,932,000"
				OtherProperties,"202,635,000","221,330,000","214,625,000","223,362,000","205,480,000","156,585,000","136,226,000","138,048,000","131,502,000","146,360,000","148,393,000","124,706,000","117,269,000","114,506,000","103,044,000","97,192,000","99,031,000","100,220,000","99,523,000","96,318,000","93,232,000","91,809,000","89,432,000"
				ConstructionInProgress,,,,,,"6,207,000","7,901,000","8,170,000",,,,,,,,,,,,,,,
				Leases,,,,,,"27,239,000","26,614,000","27,706,000","26,259,000","28,738,000","29,550,000","29,255,000","26,173,000","27,030,000","26,246,000","24,011,000","23,505,000","24,706,000","24,034,000","24,302,000","22,353,000","22,509,000","20,490,000"
			AccumulatedDepreciation,,"-143,243,000","-130,475,000","-127,969,000","-116,613,000","-109,536,000","-104,837,000","-107,564,000","-97,715,000","-109,095,000","-107,741,000","-107,092,000","-99,015,000","-98,425,000","-91,389,000","-85,855,000","-87,861,000","-89,169,000","-84,393,000","-82,572,000","-80,950,000","-77,426,000","-68,254,000"
		GoodwillAndOtherIntangibleAssets,"158,262,000","162,300,000","167,818,000","175,328,000","180,417,000","121,861,000","124,358,000","129,626,000","132,536,000","140,845,000","145,780,000","150,748,000","68,131,000","70,432,000","70,934,000","71,649,000","44,045,000","48,242,000","48,318,000","51,129,000","53,361,000","57,171,000","61,860,000"
			Goodwill,"75,043,000","73,413,000","72,487,000","74,255,000","73,257,000","73,017,000","72,100,000","73,955,000","73,451,000","78,347,000","79,868,000","81,423,000","44,805,000","46,130,000","45,655,000","45,394,000","42,872,000","45,709,000","44,626,000","46,022,000","45,360,000","46,059,000","44,976,000"
			OtherIntangibleAssets,"83,219,000","88,887,000","95,331,000","101,073,000","107,160,000","48,844,000","52,258,000","55,671,000","59,085,000","62,498,000","65,912,000","69,325,000","23,326,000","24,302,000","25,279,000","26,255,000","1,173,000","2,533,000","3,692,000","5,107,000","8,001,000","11,112,000","16,884,000"
		FinancialAssets,,,,,,,,,,"17,030,000",,,,,,,,,,,,,
		NonCurrentAccountsReceivable,,,,,,,,,,,,"233,000","1,621,000","1,493,000","1,449,000","1,237,000","1,319,000","1,344,000","1,265,000","1,223,000",,,
		NonCurrentDeferredAssets,,,,,"4,859,000","2,884,000","2,932,000","3,450,000","2,861,000","2,802,000","2,928,000","1,933,000","1,999,000","2,677,000","2,027,000","2,430,000","2,387,000","2,345,000","1,921,000","2,098,000","1,234,000","1,556,000","290,000"
