name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008
		UnrealizedGainLossOnInvestmentSecurities,"3,079,000,000","2,532,000,000","378,000,000","141,000,000","28,000,000","955,000,000","192,000,000","365,000,000","-679,000,000","-197,000,000","160,000,000","-355,000,000","-759,000,000","-1,060,000,000","-683,000,000","363,000,000","94,000,000","523,000,000","65,000,000","31,000,000","-9,000,000","-16,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		StockBasedCompensation,"10,000,000","-6,000,000","5,000,000","6,000,000","5,000,000","3,000,000","6,000,000","5,000,000","4,000,000","3,000,000","5,000,000","3,000,000","3,000,000","2,000,000","1,000,000","2,000,000","2,000,000","1,000,000","1,000,000","2,000,000",,,"0","0",,,,,,,,,,,,,,,,,,,"48,000","46,000","44,000","38,000","26,000","26,000","25,000","17,000","16,000","14,000","8,000","7,000",,
		OtherNonCashItems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-247,438,000","26,000","122,000","192,000","-137,000","219,000",,,"-7,131,000","-4,171,000"
		ChangeInWorkingCapital,"-15,000,000","28,000,000","6,000,000","27,000,000","-76,000,000","-3,000,000","-20,000,000","66,000,000","-69,000,000","-82,000,000","22,000,000","-52,000,000","-54,000,000","40,000,000","-2,000,000","134,000,000","-117,000,000","6,000,000","33,000,000","-8,000,000","22,000,000","116,000,000","33,000,000","15,000,000","2,000,000","30,000,000","-1,000,000","-134,000,000","56,000,000","-3,000,000","-41,000,000","-10,000,000","41,000,000","47,000,000","467,000,000","-118,000,000","-25,000,000","-23,000,000","64,000,000","-11,000,000","15,000,000","-58,000,000","-7,297,000","-16,353,000","-26,996,000","-38,313,000","-10,143,000","-5,564,000","-15,229,000","524,000","-3,682,000","-6,123,000","-3,796,000","-2,546,000","1,833,000","-150,000"
			ChangeInReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-36,827,000","-45,953,000","-14,451,000","-6,102,000","-14,792,000","1,732,000","-5,844,000","-6,195,000","-3,451,000","-496,000",,
			ChangeInPayablesAndAccruedExpense,"3,000,000","8,000,000","2,000,000","8,000,000","-15,000,000","-12,000,000","-35,000,000","21,000,000","-50,000,000","-160,000,000","22,000,000","-53,000,000","-53,000,000","75,000,000","27,000,000","66,000,000","25,000,000","3,000,000","50,000,000","14,000,000","26,000,000","-9,000,000","36,000,000","1,000,000","-3,000,000","12,000,000","9,000,000","-5,000,000","-4,000,000","1,000,000","-25,000,000","-17,000,000","37,000,000","-13,000,000","437,000,000","-74,000,000","4,000,000","-42,000,000","61,000,000","14,000,000","-1,000,000","12,000,000","23,032,000","-9,211,000","10,556,000","7,588,000","4,429,000","451,000","71,000","-1,334,000","2,114,000","485,000","-210,000","-2,180,000",,
				ChangeInPayable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-561,000","1,617,000","232,000","-273,000","-2,285,000",,
					ChangeInAccountPayable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"258,000","574,000","220,000","-215,000","-2,236,000",,
				ChangeInAccruedExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-773,000","497,000","253,000","63,000","105,000",,
			ChangeInOtherCurrentAssets,"-18,000,000","20,000,000","4,000,000","19,000,000","-61,000,000","9,000,000","15,000,000","45,000,000","-19,000,000","78,000,000","0","1,000,000","-1,000,000","-35,000,000","-29,000,000","68,000,000","-142,000,000","3,000,000","-17,000,000","-22,000,000","-4,000,000","125,000,000","-3,000,000","14,000,000","5,000,000","18,000,000","-10,000,000","-129,000,000","60,000,000","-4,000,000","-16,000,000","7,000,000","4,000,000","60,000,000","30,000,000","-44,000,000","-29,000,000","19,000,000","3,000,000","-25,000,000","16,000,000","-70,000,000","-30,329,000","-89,922,000","-725,000","52,000","-121,000","87,000","-508,000","126,000","48,000","-413,000","-135,000","130,000",,
