name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012
				AmortizationCashFlow,"156,000,000","42,000,000","39,000,000","37,000,000","38,000,000","32,000,000","23,000,000","22,000,000","23,000,000","22,000,000","19,000,000","17,000,000","18,000,000","17,000,000","18,000,000","17,000,000","18,000,000","17,000,000","18,000,000","18,000,000","17,000,000","17,000,000","18,000,000","17,000,000","17,000,000","23,000,000","13,000,000","15,000,000","14,000,000","12,000,000","9,000,000","7,000,000","0","1,000,000","-1,000,000","1,000,000",,,"-1,000,000","0",,
					AmortizationOfIntangibles,"156,000,000","42,000,000","39,000,000","37,000,000","38,000,000","32,000,000","23,000,000","22,000,000","23,000,000","22,000,000","19,000,000","17,000,000","18,000,000","17,000,000","18,000,000","17,000,000","18,000,000","17,000,000","18,000,000","18,000,000","17,000,000","17,000,000","18,000,000","17,000,000","17,000,000","23,000,000","13,000,000","15,000,000","14,000,000","12,000,000","9,000,000","7,000,000","0","1,000,000","-1,000,000","1,000,000",,,"-1,000,000","0",,
		DeferredTax,"31,000,000","-1,000,000","24,000,000","1,000,000","7,000,000","-20,000,000","-5,000,000","9,000,000","26,000,000","-22,000,000","6,000,000","-11,000,000","4,000,000","-7,000,000","45,000,000","11,000,000","7,000,000","-1,000,000","57,000,000","8,000,000","8,000,000","-1,000,000",,,,"0","4,000,000","8,000,000","4,000,000","-4,000,000","-11,000,000","10,000,000","2,000,000","3,000,000","3,000,000","0","1,000,000","4,000,000","0","8,000,000","-1,000,000","3,000,000"
			DeferredIncomeTax,"31,000,000","-1,000,000","24,000,000","1,000,000","7,000,000","-20,000,000","-5,000,000","9,000,000","26,000,000","-22,000,000","6,000,000","-11,000,000","4,000,000","-7,000,000","45,000,000","11,000,000","7,000,000","-1,000,000","57,000,000","8,000,000","8,000,000","-1,000,000",,,,"0","4,000,000","8,000,000","4,000,000","-4,000,000","-11,000,000","10,000,000","2,000,000","3,000,000","3,000,000","0","1,000,000","4,000,000","0","8,000,000","-1,000,000","3,000,000"
		AmortizationOfSecurities,,,,,,,,,,,,,,,,,,,,"7,000,000",,,,,,,,,,,,,,,"1,000,000",,,,,,,
		AssetImpairmentCharge,,,,,,,"32,000,000","0",,,"14,000,000","0",,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCashItems,"27,000,000","8,000,000","7,000,000","6,000,000","8,000,000","4,000,000","3,000,000","4,000,000","4,000,000","4,000,000","3,000,000","7,000,000","3,000,000","4,000,000","44,000,000","-1,000,000","-26,000,000","7,000,000","7,000,000","7,000,000","6,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","3,000,000","3,000,000","2,000,000","3,000,000","4,000,000","1,000,000","1,000,000","0","0","1,000,000",,,"0","-1,000,000"
		ChangeInWorkingCapital,"-36,000,000","-74,000,000","28,000,000","69,000,000","-59,000,000","-47,000,000","-32,000,000","89,000,000","-80,000,000","-23,000,000","22,000,000","61,000,000","-59,000,000","-28,000,000","6,000,000","62,000,000","-71,000,000","-27,000,000","22,000,000","48,000,000","-52,000,000","-28,000,000","-21,000,000","69,000,000","-36,000,000","-13,000,000","-11,000,000","61,000,000","-67,000,000","-5,000,000","3,000,000","16,000,000","-25,000,000","-25,000,000","-2,000,000","69,000,000","-63,000,000","-7,000,000","27,000,000","-47,000,000","43,000,000","-17,000,000"
			ChangeInPayablesAndAccruedExpense,,,,,,,,,,,,,,,,,,,,,,,,"13,000,000",,,,,,,,,,,"3,000,000",,,,,,,
				ChangeInPayable,,,,,,,,,,,,,,,,,,,,,,,,"13,000,000",,,,,,,,,,,,,,,,,,
					ChangeInTaxPayable,,,,,,,,,,,,,,,,,,,,,,,,"13,000,000",,,,,,,,,,,"3,000,000",,,,,,,
						ChangeInIncomeTaxPayable,,,,,,,,,,,,,,,,,,,,,,,,"13,000,000",,,,,,,,,,,"3,000,000",,,,,,,
			ChangeInOtherCurrentAssets,,,,,"47,000,000","-27,000,000",,,"15,000,000","85,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
