name,ttm,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,07/31/1994,04/30/1994,01/31/1994,10/31/1993,07/31/1993,04/30/1993,01/31/1993,10/31/1992,07/31/1992,04/30/1992,01/31/1992,10/31/1991,07/31/1991,04/30/1991,01/31/1991,10/31/1990,07/31/1990,04/30/1990,01/31/1990,10/31/1989,07/31/1989,04/30/1989,01/31/1989,10/31/1988,07/31/1988
	NetIncome,"93,307,000","26,677,000","18,770,000","22,893,000","24,967,000","43,497,000","19,882,000","21,196,000","19,564,000","9,259,000","12,686,000","13,887,000","15,511,000","14,566,000","10,895,000","11,281,000","10,884,000","10,169,000","13,379,000","5,969,000","6,992,000","5,242,000","2,836,000","5,018,000","7,109,000","3,363,000","4,102,000","-485,000","4,616,000","7,250,000","7,461,000","7,519,000","7,260,000","6,313,000","1,470,000","5,805,000","7,541,000","8,789,000","7,980,000","7,278,000","8,118,000","9,641,000","7,304,000","7,760,000","8,282,000","8,373,000","5,688,000","6,189,000","7,965,000","7,220,000","6,279,000","6,312,000","7,028,000","5,118,000","3,635,000","3,871,000","5,281,000","6,048,000","3,378,000","3,466,000","2,141,000","2,055,000","-50,000","-1,928,000","4,154,910","4,553,083","4,464,836","2,799,207","4,887,442","4,319,008","4,333,660","4,391,000","4,932,714","4,635,271","2,809,638","3,815,130","4,544,407","3,747,917","3,283,542","3,356,243","3,687,227","-3,060,127","2,528,512","-14,967,297","1,193,898","649,351","996,349","1,549,986","2,767,142","3,136,419","1,500,000","7,600,000","2,600,000","3,400,000","12,600,000","500,000","1,000,000","600,000",,"-100,000","-300,000","-700,000","-3,500,000","-500,000","13,600,000","3,800,000","-1,500,000","-700,000","10,700,000","-10,200,000","-5,500,000","-3,000,000","-1,500,000","-1,200,000","-600,000","-300,000","-100,000","0","-200,000","-100,000","-100,000","3,200,000","-300,000","-300,000","-200,000","-600,000","-200,000","-300,000","-100,000","-500,000","-500,000",,,,,,
		NetIncomeIncludingNoncontrollingInterests,"93,307,000","26,677,000","18,770,000","22,893,000","24,967,000","43,497,000","19,882,000","21,196,000","19,564,000","9,259,000","12,686,000","13,887,000","15,511,000","14,566,000","10,895,000","11,281,000","10,884,000","10,169,000","13,379,000","5,969,000","6,992,000","5,242,000","2,836,000","5,018,000","7,109,000","3,363,000","4,102,000","-485,000","4,616,000","7,250,000","7,461,000","7,519,000","7,260,000","6,313,000","1,470,000","5,805,000","7,541,000","8,789,000","7,980,000","7,278,000","8,118,000","9,641,000","7,304,000","7,760,000","8,282,000","8,373,000","5,688,000","6,189,000","7,965,000","7,220,000","6,279,000","6,312,000","7,028,000","5,118,000","3,635,000","3,871,000","5,281,000","6,048,000","3,378,000","3,466,000","2,141,000","2,055,000","-50,000","-1,928,000","4,154,910","4,553,083","4,464,836","2,799,207","4,887,442","4,319,008","4,333,660","4,391,000","4,932,714","4,635,271","2,809,638","3,815,130","4,544,407","3,747,917","3,283,542","3,356,243","3,687,227","-2,929,986","2,666,841","-14,841,595","829,845","98,779","852,329","1,881,442","3,262,348","3,714,776","1,800,000","7,400,000","2,600,000","2,400,000","12,600,000","600,000","1,200,000","900,000",,"-100,000","-300,000","-700,000","-3,500,000","-500,000","13,600,000","3,800,000","-1,500,000","-700,000","10,700,000","-10,200,000","-5,500,000","-3,000,000","-1,500,000","-1,200,000","-600,000","-300,000","-100,000","0","-200,000","-100,000","-100,000","3,200,000","-300,000","-300,000","-200,000","-600,000","-200,000","-300,000","-100,000","-500,000","-500,000","-400,000","-400,000","300,000","300,000","300,000","200,000"
			NetIncomeContinuousOperations,"93,307,000","26,677,000","18,770,000","22,893,000","24,967,000","43,497,000","19,882,000","21,196,000","19,564,000","9,259,000","12,686,000","13,887,000","15,511,000","14,566,000","10,895,000","11,281,000","10,884,000","10,169,000","13,379,000","5,969,000","6,992,000","5,242,000","2,836,000","5,018,000","7,109,000","3,363,000","4,102,000","-485,000","4,616,000","7,250,000","7,461,000","7,519,000","7,260,000","6,313,000","1,470,000","5,805,000","7,541,000","8,789,000","7,980,000","7,278,000","8,118,000","9,641,000","7,304,000","7,760,000","8,282,000","8,373,000","5,688,000","6,189,000","7,965,000","7,220,000","6,279,000","6,312,000","7,028,000","5,118,000","3,635,000","3,871,000","5,281,000","6,048,000","3,378,000","3,466,000","2,141,000","2,055,000","-50,000","-1,928,000","4,154,910","4,553,083","4,464,836","2,799,207","4,887,442","4,319,008","4,333,660","4,391,000","4,932,714","4,635,271","2,809,638","3,815,130","4,379,407","3,747,917","3,283,542","3,100,401","3,436,883","-3,165,964","2,221,189","-2,153,495","1,193,898","649,351","996,349","1,549,986","2,767,142","3,136,419","1,500,000","7,600,000","2,600,000","3,400,000","12,600,000","500,000","1,000,000","600,000",,"-100,000","-300,000","-700,000","-3,500,000","-500,000","13,600,000","3,800,000","-1,500,000","-700,000","10,700,000","-10,200,000","-5,500,000","-3,000,000","-1,500,000","-1,000,000","-600,000","-300,000","-100,000","0","-200,000","-100,000","-100,000","3,200,000","-300,000","-300,000","-200,000","-600,000","-200,000","-300,000","-100,000","-500,000","-500,000","-400,000","-400,000","300,000","300,000","300,000","200,000"
			NetIncomeDiscontinuousOperations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,"165,000","0",,"255,842","250,344","105,837","307,323","-12,813,802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		MinorityInterests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-130,141","-138,329","-125,702","364,053","550,572","144,020","-331,456","-495,206","-578,357","-300,000","200,000",,"1,000,000",,"-100,000","-200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	PreferredStockDividends,"40,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"93,267,000","26,667,000","18,760,000","22,883,000","24,957,000","43,487,000","19,872,000","21,186,000","19,554,000","9,249,000","12,676,000","13,877,000","15,501,000","14,556,000","10,885,000","11,271,000","10,874,000","10,159,000","13,369,000","5,959,000","6,982,000","5,232,000","2,826,000","5,008,000","7,099,000","3,353,000","4,092,000","-495,000","4,606,000","7,240,000","7,451,000","7,509,000","7,250,000","6,303,000","1,460,000","5,795,000","7,531,000","8,779,000","7,970,000","7,268,000","8,108,000","9,631,000","7,294,000","7,750,000","8,272,000","8,363,000","5,678,000","6,179,000","7,955,000","7,210,000","6,269,000","6,302,000","7,018,000","5,118,000","3,635,000","3,871,000","5,281,000","6,048,000","3,378,000","3,466,000","2,141,000","2,055,000","-50,000","-1,928,000","4,154,910","4,553,083","4,464,836","2,799,207","4,887,442","4,319,008","4,333,660","4,391,000","4,932,714","4,635,271","2,809,638","3,815,130","4,544,407","3,747,917","3,283,542","3,356,243","3,687,227","-3,060,127","2,528,512","-14,967,297","1,193,898","649,351","996,349","1,549,986","2,767,142","3,136,419","1,500,000","7,600,000","2,600,000","3,400,000","12,600,000","500,000","1,000,000","600,000",,"-100,000","-300,000","-700,000","-3,500,000","-500,000","13,600,000","3,800,000","-1,500,000","-700,000","10,700,000","-10,200,000","-5,500,000","-3,000,000","-1,500,000","-1,200,000","-600,000","-300,000","-100,000","0","-200,000","-100,000","-100,000","3,200,000","-300,000","-300,000","-200,000","-600,000","-200,000","-300,000","-100,000","-500,000","-500,000",,,,,,
BasicEPS,,"4.16","2.89","3.5","3.78","6.57","3","3.2","2.95","1.4","1.92","2.1","2.32","2.17","1.61","1.64","1.57","1.47","1.88","0.82","0.92","0.68","0.36","0.64","0.89","0.41","0.49","-0.06","0.54","0.85","0.87","0.87","0.83","0.72","0.16","0.64","0.83","0.97","0.88","0.8","0.87",,"0.76","0.79","0.81","0.79","1.67","0.57","0.71",,"0.54","0.54","0.6",,"0.31","0.33","0.45",,"0.29","0.29","0.18",,"0","-0.16","0.35",,"0.38","0.24","0.41",,"0.367","0.373","0.42",,"0.247","0.34","0.413",,"0.313","0.32","0.353",,"0.247","-1.48","0.113",,"0.087","0.133","0.227",,"0.113","0.527","0.173",,"0.847","0.033","0.067",,,"-0.007","-0.02",,"-0.227","-0.027","0.774",,"-0.087","-0.04","0.58",,"-0.24","-0.138","-0.071",,"-0.067","-0.04","-0.02",,"-0.04","-0.013","-0.013",,"-0.06","-0.053","-0.04",,"-0.027","-0.06","-0.027",,"-0.08","-0.08","-0.073",,"0.08","0.067","0.067"
DilutedEPS,,"4.01","2.77","3.33","3.57","6.19","2.85","3.05","2.83","1.35","1.83","2","2.21","2.07","1.55","1.58","1.53","1.43","1.82","0.79","0.9","0.66","0.35","0.62","0.87","0.4","0.47","-0.06","0.52","0.81","0.82","0.83","0.79","0.68","0.16","0.61","0.79","0.92","0.84","0.76","0.83",,"0.73","0.77","0.78","0.78","1.65","0.56","0.7",,"0.53","0.53","0.6",,"0.31","0.33","0.45",,"0.28","0.29","0.18",,"0","-0.16","0.35",,"0.37","0.23","0.41",,"0.36","0.367","0.413",,"0.233","0.32","0.38",,"0.28","0.287","0.307",,"0.233","-1.48","0.113",,"0.087","0.127","0.213",,"0.107","0.507","0.167",,"0.807","0.033","0.067",,,"-0.007","-0.02",,"-0.227","-0.027","0.774",,"-0.087","-0.04","0.58",,"-0.24","-0.138","-0.071",,"-0.067","-0.04","-0.02",,"-0.04","-0.013","-0.013",,"-0.06","-0.053","-0.04",,"-0.027","-0.06","-0.027",,"-0.08","-0.08","-0.073",,"0.08","0.067","0.067"
BasicAverageShares,,"6,414,229","6,487,310","6,529,846","6,604,194","6,620,372","6,634,125","6,627,780","6,632,445","6,616,305","6,597,643","6,621,562","6,684,282","6,699,772","6,751,026","6,865,060","6,924,035","6,907,409","7,106,715","7,354,499","7,548,846","7,737,420","7,893,737","7,833,061","7,948,925","8,123,456","8,367,728","8,471,918","8,513,440","8,561,513","8,587,761","8,604,003","8,716,344","8,761,994","8,917,826","9,016,820","9,020,228","9,017,440","9,017,613","9,105,921","9,304,743",,"9,610,125","9,776,817","10,271,359","10,561,615","11,731,674","10,892,177","11,223,777",,"11,732,822","11,732,151","11,730,049",,"11,780,402","11,760,421","11,707,243",,"11,850,841","11,878,273","11,875,782",,"11,852,875","11,844,101","11,850,796",,"11,864,475","11,855,982","11,845,236",,"11,751,054","11,714,521","11,664,267",,"11,451,333","11,268,601","10,942,396",,"10,494,054","10,495,753","10,452,223",,"10,121,187","10,097,026","10,302,811",,"11,212,170","11,872,078","12,269,086",,"13,185,735","10,523,788","10,523,788",,"14,874,453","11,274,591","11,274,591",,,"11,197,779","11,197,779",,"15,433,460","17,577,418","17,577,418",,"17,299,043","17,491,254","18,439,056",,"16,119,940","8,979,010","8,979,010",,"4,997,501","4,997,501","4,997,501",,"4,997,501","7,496,252","7,496,252",,"4,997,501","5,622,189","4,997,501",,"7,496,252","4,997,501","3,748,126",,"6,246,877",,,,,,
DilutedAverageShares,,"6,649,964","6,779,641","6,863,273","6,997,935","7,028,537","6,966,188","6,935,707","6,915,596","6,872,769","6,940,124","6,952,667","7,016,752","7,021,160","7,003,389","7,132,217","7,126,685","7,086,084","7,345,428","7,555,026","7,768,310","7,941,504","8,175,754","8,136,961","8,185,077","8,335,751","8,615,757","8,471,918","8,909,597","8,992,402","9,036,086","9,022,437","9,143,062","9,213,030","9,370,635","9,484,654","9,492,852","9,494,167","9,451,473","9,579,409","9,752,069",,"9,998,290","10,081,274","10,579,824","10,790,120","11,848,781","11,117,087","11,436,613",,"11,891,168","11,862,679","11,792,496",,"11,828,215","11,825,806","11,790,086",,"11,921,694","11,961,639","11,967,690",,"11,852,875","11,844,101","11,983,528",,"12,011,480","12,030,908","12,040,944",,"12,040,747","12,023,785","11,996,943",,"11,991,645","11,925,912","11,864,250",,"11,691,135","11,713,068","11,905,512",,"10,723,717","10,097,026","10,558,123",,"11,652,495","12,449,053","12,873,009",,"13,769,616","10,523,788","10,523,788",,"15,612,029","11,274,591","11,274,591",,,"11,197,779","11,197,779",,"15,433,460","17,577,418","17,577,418",,"17,299,043","17,491,254","18,439,056",,"16,119,940","8,979,010","8,979,010",,"4,997,501","4,997,501","4,997,501",,"4,997,501","7,496,252","7,496,252",,"4,997,501","5,622,189","4,997,501",,"7,496,252","4,997,501","3,748,126",,"6,246,877",,,,,,
TotalExpenses,"1,080,895,000","313,957,000","264,118,000","256,233,000","246,587,000","221,936,000","200,784,000","194,016,000","160,653,000","183,011,000","169,043,000","170,270,000","149,998,000","156,569,000","144,768,000","151,064,000","149,078,000","154,266,000","139,825,000","139,204,000","134,310,000","142,712,000","133,194,000","141,172,000","133,158,000","148,135,000","130,064,000","132,967,000","134,567,000","125,218,000","118,952,000","121,111,000","115,085,000","111,851,000","119,353,000","111,495,000","109,743,000","111,144,000","105,617,000","97,898,000","96,366,000","97,508,000","92,966,000","97,716,000","86,832,000","89,933,000","82,591,000","81,185,000","77,817,000","77,080,000","73,285,000","71,846,000","72,449,000","69,609,000","66,034,000","64,706,000","66,654,000","66,490,000","64,810,000","62,168,000","54,526,000","56,181,000","58,374,000","61,673,000","54,693,516","54,482,325","50,491,787","50,312,938","49,940,973","48,034,464","41,009,594","43,272,000","42,760,951","40,153,445","37,106,454","36,963,609","36,045,387","36,034,704","32,719,432","32,960,405","29,971,789","36,729,526","26,311,554","27,397,097","56,007,215","84,921,556","72,810,917","79,525,868","71,417,590","73,908,737","51,500,000","41,100,000","43,200,000","46,900,000","21,400,000","17,500,000","18,500,000","16,600,000","1,300,000","1,100,000","1,200,000","1,400,000","700,000","900,000","600,000","1,900,000","700,000","700,000","1,200,000","4,800,000","5,300,000",,,,,,,"600,000","500,000","500,000","500,000","3,300,000","2,900,000","3,000,000","3,100,000","3,300,000","3,400,000","4,100,000","3,200,000","3,500,000","3,700,000",,,,,,
NetIncomeFromContinuingAndDiscontinuedOperation,"93,307,000","26,677,000","18,770,000","22,893,000","24,967,000","43,497,000","19,882,000","21,196,000","19,564,000","9,259,000","12,686,000","13,887,000","15,511,000","14,566,000","10,895,000","11,281,000","10,884,000","10,169,000","13,379,000","5,969,000","6,992,000","5,242,000","2,836,000","5,018,000","7,109,000","3,363,000","4,102,000","-485,000","4,616,000","7,250,000","7,461,000","7,519,000","7,260,000","6,313,000","1,470,000","5,805,000","7,541,000","8,789,000","7,980,000","7,278,000","8,118,000","9,641,000","7,304,000","7,760,000","8,282,000","8,373,000","5,688,000","6,189,000","7,965,000","7,220,000","6,279,000","6,312,000","7,028,000","5,118,000","3,635,000","3,871,000","5,281,000","6,048,000","3,378,000","3,466,000","2,141,000","2,055,000","-50,000","-1,928,000","4,154,910","4,553,083","4,464,836","2,799,207","4,887,442","4,319,008","4,333,660","4,391,000","4,932,714","4,635,271","2,809,638","3,815,130","4,544,407","3,747,917","3,283,542","3,356,243","3,687,227","-3,060,127","2,528,512","-14,967,297","1,193,898","649,351","996,349","1,549,986","2,767,142","3,136,419","1,500,000","7,600,000","2,600,000","3,400,000","12,600,000","500,000","1,000,000","600,000",,"-100,000","-300,000","-700,000","-3,500,000","-500,000","13,600,000","3,800,000","-1,500,000","-700,000","10,700,000","-10,200,000","-5,500,000","-3,000,000","-1,500,000","-1,200,000","-600,000","-300,000","-100,000","0","-200,000","-100,000","-100,000","3,200,000","-300,000","-300,000","-200,000","-600,000","-200,000","-300,000","-100,000","-500,000","-500,000",,,,,,
NormalizedIncome,"93,422,469.369","26,724,389.178","18,801,795.596","22,927,132.764","24,968,572","43,498,570.204","19,898,987.223","21,147,115.532","19,564,000","9,128,890.981","12,686,000","13,888,546.695","15,539,934","14,563,615.779","10,818,683.105","11,290,591.328","10,884,000","10,096,794.964","13,440,320","6,008,872.612","7,022,174","5,741,297.684","2,840,389.122","5,017,372.985","7,359,802.611","3,565,356.371","4,118,932.273","-473,094.315","4,616,000","7,248,137.205","7,461,000","7,531,550.492","7,260,000","6,313,000","1,492,484.498","5,803,740.234","7,566,829.657","8,789,000","7,980,000","7,278,000","8,118,000","9,641,000","7,304,000","7,760,000","8,282,000","8,092,680.32","6,007,642.651","6,189,000","7,965,000","7,220,000","6,279,000","6,312,000","7,028,000","5,118,000","3,635,000","3,871,000","5,281,000","6,147,710.095","3,620,493.072","3,466,000","2,141,000","2,055,000","-50,000","-1,928,000","4,154,910","4,553,083","4,464,836","2,799,207","4,887,442","4,319,008","4,333,660","4,391,000","4,932,714","4,635,271","2,809,638","3,815,130","4,379,407","3,747,917","3,283,542","3,100,401","3,436,883","-3,165,964","2,221,189","2,484,459.561","9,624,006.6","-6,533,991.405","945,302.804","852,550.2","1,430,235.2","-4,125,657","1,500,000","1,225,806.452","2,052,631.579","1,800,000","-2,231,250","-2,250,000","-1,933,333.333","-3,060,000",,"-460,000","-720,000","-700,000","-422,413.793","-714,285.714","-643,243.243","2,960,000","-666,666.667","-640,000","-1,960,000","-8,580,000","-5,500,000","-3,000,000","-1,500,000","-1,000,000","-600,000","-300,000","-100,000","0","-200,000","-100,000","-100,000","380,000","-360,000","-300,000","-260,000","-720,000","-200,000","-360,000","-100,000","-500,000","-583,333.333",,,,,,
InterestIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,025,000","11,703,000","11,033,000","11,408,000","10,679,000","10,200,000","9,517,000","9,794,000","9,224,000","8,858,000","8,063,000","8,049,000","7,319,000","6,743,000",,"6,533,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InterestExpense,"10,919,000","3,480,000","2,944,000","2,513,000","1,982,000","1,738,000","1,705,000","1,658,000","1,719,000","1,943,000","2,024,000","2,081,000","2,004,000","1,988,000","2,110,000","1,981,000","1,804,000","1,621,000","1,482,000","1,324,000","1,172,000","1,029,000","1,060,000","1,036,000","944,000","923,000","831,000","792,000","760,000","720,000","788,000","721,000","675,000","706,000","779,000","722,000","790,000","781,000","795,000","708,000","653,000","609,000","659,000","575,000","442,000","406,000","449,000","803,000","967,000","661,000","635,000","776,000","247,000","521,000","1,683,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetInterestIncome,"-10,919,000","-3,480,000","-2,944,000","-2,513,000","-1,982,000","-1,738,000","-1,705,000","-1,658,000","-1,719,000","-1,943,000","-2,024,000","-2,081,000","-2,004,000","-1,988,000","-2,110,000","-1,981,000","-1,804,000","-1,621,000","-1,482,000","-1,324,000","-1,172,000","-1,029,000","-1,060,000","-1,036,000","-944,000","-923,000","-831,000","-792,000","-760,000","-720,000","-788,000","-721,000","-675,000","-706,000","-779,000","-722,000","-790,000","-781,000","-795,000","11,317,000","11,050,000","10,424,000","10,749,000","10,104,000","9,758,000","9,111,000","9,345,000","8,421,000","7,891,000","7,402,000","7,414,000","6,543,000","6,496,000","-20,059,000","4,850,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBIT,"131,321,000","37,819,000","27,738,000","32,024,000","33,740,000","57,141,000","27,454,000","29,408,000","27,258,000","12,831,000","17,691,000","20,038,000","21,843,000","20,316,000","16,386,000","16,095,000","14,937,000","15,282,000","7,305,000","9,857,000","12,061,000","9,407,000","5,583,000","9,039,000","12,282,000","6,291,000","7,372,000","18,000","8,123,000","12,396,000","12,548,000","12,703,000","12,291,000","10,773,000","3,198,000","9,938,000","12,760,000","14,333,000","13,305,000","12,321,000","13,634,000","15,882,000","12,399,000","13,091,000","13,692,000","13,907,000","9,471,000","10,650,000","13,643,000","11,729,000","10,520,000","10,715,000","11,306,000","8,261,000","7,418,000","7,277,000","9,007,000","28,173,000","67,000","6,075,000","4,181,000","3,217,000","934,000","-2,134,000","7,497,574","7,968,690","7,756,357","5,016,072","8,237,876","7,209,484","7,209,813","3,422,000","8,048,717","7,552,173","4,746,343","3,233,388","7,265,061","6,175,974","5,580,097","5,317,189","6,125,357","-11,314,835","4,608,950","4,370,436","8,708,613","-18,840,028","-4,649,221","-3,906,900","-2,925,752","-11,884,472","-2,100,000","-700,000","300,000","-9,100,000","-1,700,000","-2,000,000","-1,400,000","-3,400,000","-100,000","-1,000,000","-1,100,000","-1,400,000","-600,000","-800,000","-500,000","-1,900,000","-600,000","-600,000","-1,100,000","-4,800,000","-5,200,000","100,000","100,000","-4,200,000","800,000","300,000","400,000","-200,000","-100,000","-100,000","0","-300,000","-200,000","-200,000","-200,000","-400,000","0","-200,000","0","0","-500,000","2,600,000","2,600,000","-4,300,000","2,000,000","2,000,000","2,000,000"
EBITDA,"135,354,000"
ReconciledCostOfRevenue,"663,631,000","196,452,000","157,248,000","157,167,000","152,764,000","148,773,000","118,816,000","116,690,000","94,874,000","102,260,000","97,504,000","99,826,000","88,885,000","92,624,000","81,740,000","85,366,000","84,168,000","89,493,000","74,951,000","75,623,000","75,206,000","79,581,000","71,836,000","77,997,000","75,513,000","85,501,000","72,702,000","71,596,000","75,087,000","72,147,000","66,672,000","68,156,000","65,471,000","63,782,000","62,092,000","62,823,000","62,789,000","65,765,000","60,941,000","56,204,000","56,185,000","59,725,000","54,298,000","57,807,000","51,562,000","54,129,000","48,154,000","47,270,000","46,433,000","45,265,000","42,441,000","42,318,000","43,082,000","41,111,000","38,094,000","37,437,000","39,027,000","40,097,000","36,874,000","36,028,000","31,538,000","31,308,000","31,288,000","31,140,754","31,336,146","32,436,546","29,636,023","28,114,524","29,260,574","27,944,465","23,257,906","25,325,348","25,242,363","23,496,478","19,882,443","21,195,825","20,935,751","21,245,519","19,011,745","19,066,304","17,749,726","17,416,028","14,506,250","16,559,102","38,189,494","46,285,814","39,803,981","44,263,322","38,879,279","40,738,778","29,200,000","22,300,000","25,100,000","26,400,000","11,400,000","10,000,000","10,400,000",,,,,,,,,"800,000",,,"200,000","6,200,000","900,000",,,,,,,"300,000","200,000","200,000","200,000","2,400,000","2,100,000","2,100,000","2,200,000","2,400,000","2,500,000","3,300,000","2,400,000","2,700,000","2,700,000",,,,,,
ReconciledDepreciation,"4,033,000","1,210,000","950,000","958,000","915,000","947,000","906,000","928,000","938,000","926,000","975,000","971,000","967,000","1,020,000","985,000","979,000","985,000","1,006,000","1,057,000","1,108,000","1,079,000","1,037,000","1,059,000","1,080,000","1,096,000","1,152,000","1,008,000","1,038,000","1,010,000","1,048,000","935,000","929,000","918,000","878,000","835,000","795,000","777,000","756,000","712,000","696,000","662,000","632,000","594,000","565,000","538,000","523,000","485,000","464,000","456,000","451,000","439,000","412,000","392,000","386,000","352,000","338,000","319,000","300,000","296,000","278,000","274,000","269,000","255,000","238,246","231,754","279,850","151,217","129,582","148,009","118,259","116,365","98,652","92,348","89,440","71,450","78,346","81,817","89,278","74,175","70,645","65,105","74,773","51,248","-453,789","611,409","906,673","1,025,887","1,090,823","1,042,637","632,628","500,000","200,000","800,000","300,000","400,000","0","500,000","100,000","200,000","100,000","100,000","100,000","0",,,"0","0","100,000","400,000","1,100,000","800,000",,,,,,,"100,000","100,000","100,000","100,000","400,000","400,000","400,000","400,000","400,000","400,000","300,000","400,000","300,000","400,000",,,,,,
NetIncomeFromContinuingOperationNetMinorityInterest,"93,307,000","26,677,000","18,770,000","22,893,000","24,967,000","43,497,000","19,882,000","21,196,000","19,564,000","9,259,000","12,686,000","13,887,000","15,511,000","14,566,000","10,895,000","11,281,000","10,884,000","10,169,000","13,379,000","5,969,000","6,992,000","5,242,000","2,836,000","5,018,000","7,109,000","3,363,000","4,102,000","-485,000","4,616,000","7,250,000","7,461,000","7,519,000","7,260,000","6,313,000","1,470,000","5,805,000","7,541,000","8,789,000","7,980,000","7,278,000","8,118,000","9,641,000","7,304,000","7,760,000","8,282,000","8,373,000","5,688,000","6,189,000","7,965,000","7,220,000","6,279,000","6,312,000","7,028,000","5,118,000","3,635,000","3,871,000","5,281,000","6,048,000","3,378,000","3,466,000","2,141,000","2,055,000","-50,000","-1,928,000","4,154,910","4,553,083","4,464,836","2,799,207","4,887,442","4,319,008","4,333,660","4,391,000","4,932,714","4,635,271","2,809,638","3,815,130","4,379,407","3,747,917","3,283,542","3,100,401","3,436,883","-3,165,964","2,221,189","-2,153,495","1,193,898","649,351","996,349","1,549,986","2,767,142","3,136,419","1,500,000","7,600,000","2,600,000","3,400,000","12,600,000","500,000","1,000,000","600,000",,"-100,000","-300,000","-700,000","-3,500,000","-500,000","13,600,000","3,800,000","-1,500,000","-700,000","10,700,000","-10,200,000","-5,500,000","-3,000,000","-1,500,000","-1,000,000","-600,000","-300,000","-100,000","0","-200,000","-100,000","-100,000","3,200,000","-300,000","-300,000","-200,000","-600,000","-200,000","-300,000","-100,000","-500,000","-500,000",,,,,,
