name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004
OperatingIncome,"-123,265,000","-39,558,000","-11,494,000","-39,181,000","-33,032,000","-39,778,000","-21,402,000","-27,104,000","-18,215,000","-29,550,000","-9,851,000","-20,636,000","-15,277,000","-15,348,000","-14,238,000","-12,665,000","-10,406,000","-581,000","-5,337,000","-6,534,000","-6,609,000","-6,097,000",,"-1,565,000","-3,100,000","-6,080,000","-3,226,000","-3,420,000","-6,579,000","-4,528,000","-5,240,000","-3,691,000","-4,749,000","-5,781,000","-5,040,000","-4,356,000","-5,217,000","-5,111,000","-5,909,000","-5,721,000","-4,732,000","-4,473,000","-4,373,000","-4,609,000","-5,323,000","-5,207,000","-8,082,000","-6,926,000","-8,670,000","-10,391,000","-11,171,000","-10,524,000","-10,683,000","-11,796,000","-10,316,000","-13,993,000","-11,045,000","-10,637,000","-11,676,000","-10,970,000","-4,199,000","-5,319,000","-3,858,000",,,,,,,,
NetNonOperatingInterestIncomeExpense,"-12,853,000","-2,876,000","-3,257,000","-3,331,000","-3,389,000","-3,955,000","-3,397,000","-3,639,000","-2,388,000","-1,938,000","-1,362,000","-1,274,000","-1,351,000","-1,309,000","-789,000","-1,367,000","-1,666,000","-1,016,000","418,000","23,000","-152,000","-249,000",,"15,000","12,000","220,000","17,000","18,000","18,000","7,000","9,000","9,000","11,000","13,000","16,000","17,000","11,000","12,000","16,000","24,000","15,000","17,000","24,000","30,000","20,000","5,000","5,000","7,000","3,000","2,000","5,000","386,000","0","0",,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,,,,,,,,,,,,,,,,,,,,,,,,"15,000","12,000","220,000","17,000","18,000","18,000","7,000","9,000","9,000","11,000","13,000","16,000","17,000","11,000","12,000","16,000","24,000","15,000","17,000","24,000","30,000","20,000","5,000","5,000","7,000","3,000","2,000","5,000",,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"12,853,000","2,876,000","3,257,000","3,331,000","3,389,000","3,955,000","3,397,000","3,639,000","2,388,000","1,938,000","1,362,000","1,274,000","1,351,000",,,,,,,,"152,000","249,000",,"15,000","12,000","220,000","17,000","18,000","18,000","7,000","9,000","9,000","11,000","0","0","0","0","0","16,000","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0",,,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,"5,296,000",,,,,,,,,,"1,362,000","1,274,000","1,351,000","1,309,000","789,000","1,367,000","1,666,000","1,016,000","-418,000","-23,000","152,000","249,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"3,691,000",,"0","103,387,000",,,,,,,"3,691,000",,,,"-817,000","7,000","-2,531,000","-22,000","75,000",,"585,000","-325,000",,"6,000","-4,000",,"2,000","176,000","119,000","166,000","546,000","1,399,000","1,548,000","-426,000","2,586,000","3,536,000","-4,431,000","-116,000","2,228,000","156,000","1,355,000","146,000","-145,000","-8,721,000","-1,355,000","-237,000","2,772,000",,,,,,"-54,000","-78,000",,,,,,,,,,,,,,,,,
	GainOnSaleOfSecurity,,,,,,,,,,,,,,,,,,,,,,,,"6,000","-4,000",,"2,000","178,000","119,000","166,000","546,000","1,399,000","1,548,000","-426,000","2,586,000","3,536,000","-4,431,000","-116,000","2,228,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","156,000","1,355,000","146,000","-145,000","-8,721,000","-1,355,000","-237,000","2,772,000",,,"0","0",,"-54,000","-78,000",,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"3,691,000",,"0","103,387,000",,,,,,,"3,691,000",,,,"-817,000","7,000","-2,531,000","-22,000","75,000",,"585,000","-325,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"-32,731,000","-42,434,000","-14,751,000","60,875,000","-36,421,000","-43,733,000","-24,799,000","-30,743,000","-20,603,000","-31,488,000","-7,522,000","-21,910,000","-16,628,000","-16,657,000","-15,844,000","-14,025,000","-14,603,000","-1,619,000","-4,844,000","-6,511,000","-6,176,000","-6,671,000",,"-1,544,000","-3,092,000","-5,860,000","-3,207,000","-3,226,000","-6,442,000","-4,355,000","-4,685,000","-2,283,000","-3,190,000","-6,194,000","-2,438,000","-803,000","-9,637,000","-5,215,000","-3,665,000","-5,853,000","-6,072,000","-4,310,000","-4,494,000","4,142,000","-3,948,000","-5,439,000","-5,305,000","-8,173,000","-8,667,000","-10,389,000","-11,166,000","-10,512,000","-10,629,000","-11,718,000","-10,074,000","-12,174,000","-10,655,000","-9,526,000","-11,004,000","-9,958,000","-3,631,000","-5,187,000","-3,668,000",,,,,,,,
TaxProvision,"0",,"-3,789,000","3,789,000",,,,,,,"0",,,"0",,,"0",,"212,000","0","0","0",,"33,000","3,000","8,000","8,000","6,000","20,000","1,000","2,000","3,000","14,000","4,000","5,000","12,000","-6,000","5,000","4,000","26,000","-21,000","6,000","7,000","9,000","26,000","3,000","3,000","-69,000","-38,000","20,000","-18,000","-43,000","519,000","-89,000","-50,000","-492,000","-544,000","31,000","21,000","42,000","37,000","28,000",,,,,,,,,
